timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,none,expConv,2.4964437557120265,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,none,expConv,2.806982592895494,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,none,expConv,2.6744470625863928,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,none,expConv,4.036042486825707,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpGroundSpace,none,1,capaStOut,0.0001198304730138383,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpGroundSpace,none,1,capaStOut,0.000205432203069038,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpGroundSpace,none,1,capaStOut,0.0001613614985461398,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,1,capaStOut,0.00016105291059868577,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,1,capaStOut,0.00018536772050002594,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,1,capaStOut,0.00011138966467761651,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,1,capaStOut,0.0001787473847937717,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpGroundSpace,none,1,capaStSize,1.7974570952075746e-5,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpGroundSpace,none,1,capaStSize,3.08148304603557e-5,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpGroundSpace,none,1,capaStSize,2.420422478192097e-5,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,1,capaStSize,2.4157936589802868e-5,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,1,capaStSize,2.7805158075003888e-5,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,1,capaStSize,1.6708449701642474e-5,
