timestep_3,region_1,technology_1,parameter,value
d125,AT,wind,avaConv,0.0
d126,AT,wind,avaConv,0.0
d127,AT,wind,avaConv,0.0
d128,AT,wind,avaConv,0.007795029239766081
d129,AT,wind,avaConv,0.15800577485380118
d130,AT,wind,avaConv,0.09061827485380117
d131,AT,wind,avaConv,0.031253545321637426
d132,AT,wind,avaConv,0.006490423976608187
d133,AT,wind,avaConv,0.004088669590643274
d134,AT,wind,avaConv,0.04980836988304094
d135,AT,wind,avaConv,0.07250676169590643
d136,AT,wind,avaConv,0.07898355263157894
d137,AT,wind,avaConv,0.07810467836257311
d138,AT,wind,avaConv,0.05663505116959064
d139,AT,wind,avaConv,0.014201535087719298
d140,AT,wind,avaConv,0.012177777777777777
d141,AT,wind,avaConv,0.0029928728070175437
d142,AT,wind,avaConv,0.0016725877192982454
d143,AT,wind,avaConv,0.0008776315789473684
d144,AT,wind,avaConv,0.0
d145,AT,wind,avaConv,0.0
d146,AT,wind,avaConv,0.0
d147,AT,wind,avaConv,0.0
d148,AT,wind,avaConv,0.0
d149,AT,wind,avaConv,0.0002989035087719298
d150,AT,wind,avaConv,0.0
d151,AT,wind,avaConv,0.0
d152,AT,wind,avaConv,0.0
d153,AT,wind,avaConv,0.0
d154,AT,wind,avaConv,0.0
d155,AT,wind,avaConv,0.0
d156,AT,wind,avaConv,0.0
d157,AT,wind,avaConv,0.0
d158,AT,wind,avaConv,0.0
d159,AT,wind,avaConv,0.0003879385964912281
d160,AT,wind,avaConv,0.0005660087719298245
d161,AT,wind,avaConv,0.004418019005847953
d162,AT,wind,avaConv,0.005247587719298246
d163,AT,wind,avaConv,0.0013736842105263158
d164,AT,wind,avaConv,0.0
d165,AT,wind,avaConv,0.0
d166,AT,wind,avaConv,0.0
d167,AT,wind,avaConv,0.0
d168,AT,wind,avaConv,0.0
d169,AT,wind,avaConv,0.0
d170,AT,wind,avaConv,0.0
d171,AT,wind,avaConv,0.0
d172,AT,wind,avaConv,0.0
d173,AT,wind,avaConv,0.0
d174,AT,wind,avaConv,0.0
d175,AT,wind,avaConv,0.0
d176,AT,wind,avaConv,0.0
d177,AT,wind,avaConv,0.0
d178,AT,wind,avaConv,6.99561403508772e-5
d179,AT,wind,avaConv,0.0
d180,AT,wind,avaConv,0.0009030701754385966
d181,AT,wind,avaConv,4.451754385964912e-5
d182,AT,wind,avaConv,0.0
d183,AT,wind,avaConv,0.0
d184,AT,wind,avaConv,0.0
d185,AT,wind,avaConv,0.0
d186,AT,wind,avaConv,0.0
d187,AT,wind,avaConv,0.0
d188,AT,wind,avaConv,0.0
d189,AT,wind,avaConv,0.010703508771929826
d190,AT,wind,avaConv,0.0038849415204678366
d191,AT,wind,avaConv,3.179824561403509e-5
d192,AT,wind,avaConv,0.0005151315789473684
d193,AT,wind,avaConv,0.013113048245614035
d194,AT,wind,avaConv,0.01950950292397661
d195,AT,wind,avaConv,0.12073790204678363
d196,AT,wind,avaConv,0.022599415204678362
d197,AT,wind,avaConv,0.0033874634502923974
d198,AT,wind,avaConv,0.00992390350877193
d199,AT,wind,avaConv,0.0003307017543859649
d200,AT,wind,avaConv,0.0017611476608187136
