timestep_3,region_1,technology_1,parameter,value
d122,AT,solar,avaConv,0.18724850471079202
d123,AT,solar,avaConv,0.2932580344044396
d124,AT,solar,avaConv,0.33872257230185054
d125,AT,solar,avaConv,0.33307673676376065
d126,AT,solar,avaConv,0.2934110782687816
d127,AT,solar,avaConv,0.3753935336322624
d128,AT,solar,avaConv,0.3057277560975722
d129,AT,solar,avaConv,0.22595831357378798
d130,AT,solar,avaConv,0.24295476168590352
d131,AT,solar,avaConv,0.2955497555520366
d132,AT,solar,avaConv,0.33451532218147745
d133,AT,solar,avaConv,0.3323603321355659
d134,AT,solar,avaConv,0.2789523870557273
d135,AT,solar,avaConv,0.387078285999824
d136,AT,solar,avaConv,0.3539402896465748
d137,AT,solar,avaConv,0.20133783680885842
d138,AT,solar,avaConv,0.3871132917736912
d139,AT,solar,avaConv,0.19393539312182137
d140,AT,solar,avaConv,0.44533589739205154
d141,AT,solar,avaConv,0.16285459885930437
d142,AT,solar,avaConv,0.3093291084211419
d143,AT,solar,avaConv,0.19983751166676067
d144,AT,solar,avaConv,0.305235322417448
d145,AT,solar,avaConv,0.2230867650543469
d146,AT,solar,avaConv,0.2768432229681926
d147,AT,solar,avaConv,0.31190013830332536
d148,AT,solar,avaConv,0.3319620886773554
d149,AT,solar,avaConv,0.20068793669177898
d150,AT,solar,avaConv,0.22553495351795116
d151,AT,solar,avaConv,0.22816195545708143
d152,AT,solar,avaConv,0.2266254630281026
d153,AT,solar,avaConv,0.27277996669254573
d154,AT,solar,avaConv,0.2656698175399028
d155,AT,solar,avaConv,0.3164425978993924
d156,AT,solar,avaConv,0.2584230421119976
d157,AT,solar,avaConv,0.15808835500105642
d158,AT,solar,avaConv,0.1828394453918941
d159,AT,solar,avaConv,0.22652224696044337
d160,AT,solar,avaConv,0.3397587673859679
d161,AT,solar,avaConv,0.3012301129232956
d162,AT,solar,avaConv,0.17956909579710387
d163,AT,solar,avaConv,0.16186021358389824
d164,AT,solar,avaConv,0.2601117818737885
d165,AT,solar,avaConv,0.2580607292519675
d166,AT,solar,avaConv,0.32464232648076563
d167,AT,solar,avaConv,0.3297610846014047
d168,AT,solar,avaConv,0.32983184602153726
d169,AT,solar,avaConv,0.25600782304755965
d170,AT,solar,avaConv,0.2685785964945832
d171,AT,solar,avaConv,0.31574403202599227
d172,AT,solar,avaConv,0.3281134560146956
d173,AT,solar,avaConv,0.3459097645483257
d174,AT,solar,avaConv,0.3299941281816595
d175,AT,solar,avaConv,0.3235057186088451
d176,AT,solar,avaConv,0.29645951900711115
d177,AT,solar,avaConv,0.29184965888972636
d178,AT,solar,avaConv,0.3199618433645359
d179,AT,solar,avaConv,0.28606948179131575
d180,AT,solar,avaConv,0.2829315692556355
d181,AT,solar,avaConv,0.2594357862548683
d182,AT,solar,avaConv,0.18706200931622805
d183,AT,solar,avaConv,0.2714200464100707
d184,AT,solar,avaConv,0.33356738961802074
d185,AT,solar,avaConv,0.2856303870695001
d186,AT,solar,avaConv,0.2793210750074867
d187,AT,solar,avaConv,0.25900450386362034
d188,AT,solar,avaConv,0.2910874548180527
d189,AT,solar,avaConv,0.250751217982457
d190,AT,solar,avaConv,0.16968996545821394
d191,AT,solar,avaConv,0.3565411203771777
d192,AT,solar,avaConv,0.34112574961083597
d193,AT,solar,avaConv,0.3003811592236202
d194,AT,solar,avaConv,0.25977978195722906
d195,AT,solar,avaConv,0.2762571289815206
d196,AT,solar,avaConv,0.3526447831300098
d197,AT,solar,avaConv,0.3213625603956919
d198,AT,solar,avaConv,0.3298311125439388
d199,AT,solar,avaConv,0.23414400607656224
d200,AT,solar,avaConv,0.28479181467075354
d201,AT,solar,avaConv,0.2823853658829786
d202,AT,solar,avaConv,0.23728834309813435
d203,AT,solar,avaConv,0.2472872520841324
d204,AT,solar,avaConv,0.29379555060486073
d205,AT,solar,avaConv,0.22863293161909315
d206,AT,solar,avaConv,0.2629048011455449
d207,AT,solar,avaConv,0.2985031203376907
d208,AT,solar,avaConv,0.2709217134474921
d209,AT,solar,avaConv,0.27006422953979614
d210,AT,solar,avaConv,0.2891655932801388
d211,AT,solar,avaConv,0.26917706316891293
d212,AT,solar,avaConv,0.19388272676834364
d213,AT,solar,avaConv,0.22278871571683298
d214,AT,solar,avaConv,0.2638822939191765
d215,AT,solar,avaConv,0.1272808697031564
