timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0049,DE,scr13,electricity,dem,50.4111582782051
h0050,DE,scr13,electricity,dem,49.460382179304
h0051,DE,scr13,electricity,dem,49.5054192672161
h0052,DE,scr13,electricity,dem,50.3476926188645
h0053,DE,scr13,electricity,dem,52.2941445419414
h0054,DE,scr13,electricity,dem,57.2812022342491
h0055,DE,scr13,electricity,dem,62.4757022342491
h0056,DE,scr13,electricity,dem,65.2178753111722
h0057,DE,scr13,electricity,dem,66.5908753111722
h0058,DE,scr13,electricity,dem,67.8850346518315
h0059,DE,scr13,electricity,dem,68.8768437177656
h0060,DE,scr13,electricity,dem,68.3924384979853
h0061,DE,scr13,electricity,dem,67.2115950913919
h0062,DE,scr13,electricity,dem,65.9895689924908
h0063,DE,scr13,electricity,dem,65.3822448166667
h0064,DE,scr13,electricity,dem,65.8369055309524
h0065,DE,scr13,electricity,dem,68.2772324540293
h0066,DE,scr13,electricity,dem,69.0738093771062
h0067,DE,scr13,electricity,dem,67.6414687177656
h0068,DE,scr13,electricity,dem,64.0313478386447
h0069,DE,scr13,electricity,dem,61.0910456408425
h0070,DE,scr13,electricity,dem,59.2698986628205
h0071,DE,scr13,electricity,dem,55.5115113001831
h0072,DE,scr13,electricity,dem,52.3908533331502
