timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,FR,scr15,electricity,dem,65.1617986705476
h0002,FR,scr15,electricity,dem,63.6723865826355
h0003,FR,scr15,electricity,dem,60.9161118573608
h0004,FR,scr15,electricity,dem,59.930447022196
h0005,FR,scr15,electricity,dem,61.7994744947234
h0006,FR,scr15,electricity,dem,66.0685239452729
h0007,FR,scr15,electricity,dem,70.5270294397784
h0008,FR,scr15,electricity,dem,72.5322492199982
h0009,FR,scr15,electricity,dem,73.6823591101081
h0010,FR,scr15,electricity,dem,73.9092547145036
h0011,FR,scr15,electricity,dem,73.9877437254927
h0012,FR,scr15,electricity,dem,74.0506008683498
h0013,FR,scr15,electricity,dem,72.3211832859322
h0014,FR,scr15,electricity,dem,70.2452766925256
h0015,FR,scr15,electricity,dem,68.258436033185
h0016,FR,scr15,electricity,dem,67.6979525167015
h0017,FR,scr15,electricity,dem,70.0457657035147
h0018,FR,scr15,electricity,dem,74.3164305386795
h0019,FR,scr15,electricity,dem,75.2268975716465
h0020,FR,scr15,electricity,dem,71.9242547145037
h0021,FR,scr15,electricity,dem,68.5880679013168
h0022,FR,scr15,electricity,dem,68.9788096595586
h0023,FR,scr15,electricity,dem,70.0753865826356
h0024,FR,scr15,electricity,dem,67.3935843848334
