timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,NL,scr4,solar,avaConv,0.0
h0074,NL,scr4,solar,avaConv,0.0
h0075,NL,scr4,solar,avaConv,0.0
h0076,NL,scr4,solar,avaConv,0.0
h0077,NL,scr4,solar,avaConv,0.0
h0078,NL,scr4,solar,avaConv,0.0
h0079,NL,scr4,solar,avaConv,0.0
h0080,NL,scr4,solar,avaConv,0.000107408280354873
h0081,NL,scr4,solar,avaConv,0.0232841289318329
h0082,NL,scr4,solar,avaConv,0.0757286821991129
h0083,NL,scr4,solar,avaConv,0.107371411197477
h0084,NL,scr4,solar,avaConv,0.0995071668040295
h0085,NL,scr4,solar,avaConv,0.0777052537006302
h0086,NL,scr4,solar,avaConv,0.0474227554953543
h0087,NL,scr4,solar,avaConv,0.0249968308933063
h0088,NL,scr4,solar,avaConv,0.00231291823585919
h0089,NL,scr4,solar,avaConv,0.0
h0090,NL,scr4,solar,avaConv,0.0
h0091,NL,scr4,solar,avaConv,0.0
h0092,NL,scr4,solar,avaConv,0.0
h0093,NL,scr4,solar,avaConv,0.0
h0094,NL,scr4,solar,avaConv,0.0
h0095,NL,scr4,solar,avaConv,0.0
h0096,NL,scr4,solar,avaConv,0.0
