timestep_4,region_1,scenario_1,technology_1,parameter,value
h0049,AT,scr7,wind,avaConv,0.283222012174284
h0050,AT,scr7,wind,avaConv,0.281894586994573
h0051,AT,scr7,wind,avaConv,0.25811195304773
h0052,AT,scr7,wind,avaConv,0.312679900001731
h0053,AT,scr7,wind,avaConv,0.296810273057581
h0054,AT,scr7,wind,avaConv,0.326180414156138
h0055,AT,scr7,wind,avaConv,0.194768444348928
h0056,AT,scr7,wind,avaConv,0.176806381477272
h0057,AT,scr7,wind,avaConv,0.343785263979408
h0058,AT,scr7,wind,avaConv,0.481164011654984
h0059,AT,scr7,wind,avaConv,0.759391686525874
h0060,AT,scr7,wind,avaConv,0.848650268840166
h0061,AT,scr7,wind,avaConv,0.860147944744293
h0062,AT,scr7,wind,avaConv,0.803020032460512
h0063,AT,scr7,wind,avaConv,0.639305324408092
h0064,AT,scr7,wind,avaConv,0.568559712196998
h0065,AT,scr7,wind,avaConv,0.526956968266152
h0066,AT,scr7,wind,avaConv,0.480037119652566
h0067,AT,scr7,wind,avaConv,0.44984529314842
h0068,AT,scr7,wind,avaConv,0.454740043935608
h0069,AT,scr7,wind,avaConv,0.44751637296651
h0070,AT,scr7,wind,avaConv,0.4265216149651
h0071,AT,scr7,wind,avaConv,0.454277897344224
h0072,AT,scr7,wind,avaConv,0.494580619886398
