timestep_4,region_1,scenario_1,technology_1,parameter,value
h0049,NL,scr11,solar,avaConv,0.0
h0050,NL,scr11,solar,avaConv,0.0
h0051,NL,scr11,solar,avaConv,0.0
h0052,NL,scr11,solar,avaConv,0.0
h0053,NL,scr11,solar,avaConv,0.0
h0054,NL,scr11,solar,avaConv,0.0
h0055,NL,scr11,solar,avaConv,0.0
h0056,NL,scr11,solar,avaConv,9.09898911673927e-5
h0057,NL,scr11,solar,avaConv,0.0169828696222514
h0058,NL,scr11,solar,avaConv,0.043134484393749
h0059,NL,scr11,solar,avaConv,0.0612989843155244
h0060,NL,scr11,solar,avaConv,0.0617498893861766
h0061,NL,scr11,solar,avaConv,0.0486394804304297
h0062,NL,scr11,solar,avaConv,0.0276291834936805
h0063,NL,scr11,solar,avaConv,0.00982223632355458
h0064,NL,scr11,solar,avaConv,0.000947128110158502
h0065,NL,scr11,solar,avaConv,0.0
h0066,NL,scr11,solar,avaConv,0.0
h0067,NL,scr11,solar,avaConv,0.0
h0068,NL,scr11,solar,avaConv,0.0
h0069,NL,scr11,solar,avaConv,0.0
h0070,NL,scr11,solar,avaConv,0.0
h0071,NL,scr11,solar,avaConv,0.0
h0072,NL,scr11,solar,avaConv,0.0
