timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,AT,scr9,wind,avaConv,0.860025184100192
h0002,AT,scr9,wind,avaConv,0.852438532292032
h0003,AT,scr9,wind,avaConv,0.830442603302593
h0004,AT,scr9,wind,avaConv,0.804952394534405
h0005,AT,scr9,wind,avaConv,0.767977098786996
h0006,AT,scr9,wind,avaConv,0.730199317392717
h0007,AT,scr9,wind,avaConv,0.70339165112155
h0008,AT,scr9,wind,avaConv,0.680356771654626
h0009,AT,scr9,wind,avaConv,0.675857217715872
h0010,AT,scr9,wind,avaConv,0.711578949402117
h0011,AT,scr9,wind,avaConv,0.785996648604561
h0012,AT,scr9,wind,avaConv,0.754735252558937
h0013,AT,scr9,wind,avaConv,0.664139690281223
h0014,AT,scr9,wind,avaConv,0.605519254994188
h0015,AT,scr9,wind,avaConv,0.377258536867323
h0016,AT,scr9,wind,avaConv,0.228116987296304
h0017,AT,scr9,wind,avaConv,0.218603800647463
h0018,AT,scr9,wind,avaConv,0.195559884629941
h0019,AT,scr9,wind,avaConv,0.162766453760264
h0020,AT,scr9,wind,avaConv,0.143529914302092
h0021,AT,scr9,wind,avaConv,0.141744118948576
h0022,AT,scr9,wind,avaConv,0.150862232817525
h0023,AT,scr9,wind,avaConv,0.183408898894988
h0024,AT,scr9,wind,avaConv,0.197607976264736
