timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,NL,scr11,solar,avaConv,0.0
h0074,NL,scr11,solar,avaConv,0.0
h0075,NL,scr11,solar,avaConv,0.0
h0076,NL,scr11,solar,avaConv,0.0
h0077,NL,scr11,solar,avaConv,0.0
h0078,NL,scr11,solar,avaConv,0.0
h0079,NL,scr11,solar,avaConv,0.0
h0080,NL,scr11,solar,avaConv,-3.24300646675697e-6
h0081,NL,scr11,solar,avaConv,0.00519141140100497
h0082,NL,scr11,solar,avaConv,0.0252750404228811
h0083,NL,scr11,solar,avaConv,0.0588665019882941
h0084,NL,scr11,solar,avaConv,0.0584142193554667
h0085,NL,scr11,solar,avaConv,0.0621139983524499
h0086,NL,scr11,solar,avaConv,0.0411944061546674
h0087,NL,scr11,solar,avaConv,0.0250684488173784
h0088,NL,scr11,solar,avaConv,0.00210555185895693
h0089,NL,scr11,solar,avaConv,0.0
h0090,NL,scr11,solar,avaConv,0.0
h0091,NL,scr11,solar,avaConv,0.0
h0092,NL,scr11,solar,avaConv,0.0
h0093,NL,scr11,solar,avaConv,0.0
h0094,NL,scr11,solar,avaConv,0.0
h0095,NL,scr11,solar,avaConv,0.0
h0096,NL,scr11,solar,avaConv,0.0
