timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,CH,scr11,solar,avaConv,0.0
h0074,CH,scr11,solar,avaConv,0.0
h0075,CH,scr11,solar,avaConv,0.0
h0076,CH,scr11,solar,avaConv,0.0
h0077,CH,scr11,solar,avaConv,0.0
h0078,CH,scr11,solar,avaConv,0.0
h0079,CH,scr11,solar,avaConv,0.0
h0080,CH,scr11,solar,avaConv,0.00482209063936184
h0081,CH,scr11,solar,avaConv,0.0423968490223291
h0082,CH,scr11,solar,avaConv,0.117767632800378
h0083,CH,scr11,solar,avaConv,0.204501365433091
h0084,CH,scr11,solar,avaConv,0.23814346573658
h0085,CH,scr11,solar,avaConv,0.126278699600797
h0086,CH,scr11,solar,avaConv,0.0663603698642996
h0087,CH,scr11,solar,avaConv,0.0285606907768196
h0088,CH,scr11,solar,avaConv,0.00434034114095234
h0089,CH,scr11,solar,avaConv,0.0
h0090,CH,scr11,solar,avaConv,0.0
h0091,CH,scr11,solar,avaConv,0.0
h0092,CH,scr11,solar,avaConv,0.0
h0093,CH,scr11,solar,avaConv,0.0
h0094,CH,scr11,solar,avaConv,0.0
h0095,CH,scr11,solar,avaConv,0.0
h0096,CH,scr11,solar,avaConv,0.0
