timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,DE,scr5,wind,avaConv,0.904313198274556
h0074,DE,scr5,wind,avaConv,0.90154148020485
h0075,DE,scr5,wind,avaConv,0.896747148942849
h0076,DE,scr5,wind,avaConv,0.882034984954086
h0077,DE,scr5,wind,avaConv,0.900207705351071
h0078,DE,scr5,wind,avaConv,0.932642402553702
h0079,DE,scr5,wind,avaConv,0.95622642466508
h0080,DE,scr5,wind,avaConv,0.975447296356772
h0081,DE,scr5,wind,avaConv,0.990796235205989
h0082,DE,scr5,wind,avaConv,0.995030600716957
h0083,DE,scr5,wind,avaConv,0.997184607073626
h0084,DE,scr5,wind,avaConv,0.99802469139912
h0085,DE,scr5,wind,avaConv,0.9973965230117
h0086,DE,scr5,wind,avaConv,0.996807732929494
h0087,DE,scr5,wind,avaConv,0.995166918814217
h0088,DE,scr5,wind,avaConv,0.990059686904788
h0089,DE,scr5,wind,avaConv,0.987880793817975
h0090,DE,scr5,wind,avaConv,0.990796093437059
h0091,DE,scr5,wind,avaConv,0.993451663015689
h0092,DE,scr5,wind,avaConv,0.995215376275348
h0093,DE,scr5,wind,avaConv,0.994714791454314
h0094,DE,scr5,wind,avaConv,0.994490200670905
h0095,DE,scr5,wind,avaConv,0.959189381475036
h0096,DE,scr5,wind,avaConv,0.894426705834081
