timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,CH,scr12,solar,avaConv,0.0
h0074,CH,scr12,solar,avaConv,0.0
h0075,CH,scr12,solar,avaConv,0.0
h0076,CH,scr12,solar,avaConv,0.0
h0077,CH,scr12,solar,avaConv,0.0
h0078,CH,scr12,solar,avaConv,0.0
h0079,CH,scr12,solar,avaConv,0.0
h0080,CH,scr12,solar,avaConv,0.00668653666887129
h0081,CH,scr12,solar,avaConv,0.0545363879251007
h0082,CH,scr12,solar,avaConv,0.116325355275474
h0083,CH,scr12,solar,avaConv,0.173191941899146
h0084,CH,scr12,solar,avaConv,0.221227986280294
h0085,CH,scr12,solar,avaConv,0.23317413908404
h0086,CH,scr12,solar,avaConv,0.192013100271344
h0087,CH,scr12,solar,avaConv,0.100830043625888
h0088,CH,scr12,solar,avaConv,0.0136569177496363
h0089,CH,scr12,solar,avaConv,0.0
h0090,CH,scr12,solar,avaConv,0.0
h0091,CH,scr12,solar,avaConv,0.0
h0092,CH,scr12,solar,avaConv,0.0
h0093,CH,scr12,solar,avaConv,0.0
h0094,CH,scr12,solar,avaConv,0.0
h0095,CH,scr12,solar,avaConv,0.0
h0096,CH,scr12,solar,avaConv,0.0
