timestep_4,region_1,scenario_1,technology_1,parameter,value
h0025,BE,scr2,wind,avaConv,0.458614955216684
h0026,BE,scr2,wind,avaConv,0.410349283045955
h0027,BE,scr2,wind,avaConv,0.378415990390175
h0028,BE,scr2,wind,avaConv,0.359025611603736
h0029,BE,scr2,wind,avaConv,0.353504904680413
h0030,BE,scr2,wind,avaConv,0.342243299048813
h0031,BE,scr2,wind,avaConv,0.325748903898148
h0032,BE,scr2,wind,avaConv,0.316724312109291
h0033,BE,scr2,wind,avaConv,0.302349865599907
h0034,BE,scr2,wind,avaConv,0.286560695227679
h0035,BE,scr2,wind,avaConv,0.277981320003832
h0036,BE,scr2,wind,avaConv,0.267619798845411
h0037,BE,scr2,wind,avaConv,0.26129900698595
h0038,BE,scr2,wind,avaConv,0.262671576701004
h0039,BE,scr2,wind,avaConv,0.253968727609008
h0040,BE,scr2,wind,avaConv,0.264180570920456
h0041,BE,scr2,wind,avaConv,0.310222427738205
h0042,BE,scr2,wind,avaConv,0.336833679857642
h0043,BE,scr2,wind,avaConv,0.336349808691668
h0044,BE,scr2,wind,avaConv,0.320158338002817
h0045,BE,scr2,wind,avaConv,0.294986974876196
h0046,BE,scr2,wind,avaConv,0.28119129739535
h0047,BE,scr2,wind,avaConv,0.263136585723808
h0048,BE,scr2,wind,avaConv,0.232293575156685
