timestep_4,region_1,scenario_1,technology_1,parameter,value
h0025,NL,scr8,wind,avaConv,0.00159010490062838
h0026,NL,scr8,wind,avaConv,0.00128265283127174
h0027,NL,scr8,wind,avaConv,0.00131277480614561
h0028,NL,scr8,wind,avaConv,0.00245051765534362
h0029,NL,scr8,wind,avaConv,0.00355189757968663
h0030,NL,scr8,wind,avaConv,0.00733055184630797
h0031,NL,scr8,wind,avaConv,0.0129718668254913
h0032,NL,scr8,wind,avaConv,0.0176508888506711
h0033,NL,scr8,wind,avaConv,0.0232135674605808
h0034,NL,scr8,wind,avaConv,0.0291238799406272
h0035,NL,scr8,wind,avaConv,0.0355035185743271
h0036,NL,scr8,wind,avaConv,0.0324917290483472
h0037,NL,scr8,wind,avaConv,0.0322348694137397
h0038,NL,scr8,wind,avaConv,0.0319288196452614
h0039,NL,scr8,wind,avaConv,0.0242254363101086
h0040,NL,scr8,wind,avaConv,0.0179581134944693
h0041,NL,scr8,wind,avaConv,0.0498345470253998
h0042,NL,scr8,wind,avaConv,0.0763673569454054
h0043,NL,scr8,wind,avaConv,0.108378919816309
h0044,NL,scr8,wind,avaConv,0.129593547581747
h0045,NL,scr8,wind,avaConv,0.140617311076894
h0046,NL,scr8,wind,avaConv,0.128838513190029
h0047,NL,scr8,wind,avaConv,0.12596006240035
h0048,NL,scr8,wind,avaConv,0.135022494450871
