timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,AT,scr5,electricity,dem,5.76091760730729
h0002,AT,scr5,electricity,dem,5.61665799192267
h0003,AT,scr5,electricity,dem,5.46572529961498
h0004,AT,scr5,electricity,dem,5.55721431060399
h0005,AT,scr5,electricity,dem,6.05535029961498
h0006,AT,scr5,electricity,dem,6.8031827171974
h0007,AT,scr5,electricity,dem,7.65664837653806
h0008,AT,scr5,electricity,dem,8.01069920071388
h0009,AT,scr5,electricity,dem,8.16900277214246
h0010,AT,scr5,electricity,dem,8.25139975016443
h0011,AT,scr5,electricity,dem,8.25743683807652
h0012,AT,scr5,electricity,dem,8.05031046445015
h0013,AT,scr5,electricity,dem,7.92414562928531
h0014,AT,scr5,electricity,dem,7.8245110139007
h0015,AT,scr5,electricity,dem,7.82424727763696
h0016,AT,scr5,electricity,dem,8.01129398093366
h0017,AT,scr5,electricity,dem,8.35501238752707
h0018,AT,scr5,electricity,dem,8.33591898093366
h0019,AT,scr5,electricity,dem,7.8475838160985
h0020,AT,scr5,electricity,dem,7.35337914576883
h0021,AT,scr5,electricity,dem,6.84178848642817
h0022,AT,scr5,electricity,dem,6.7838544204941
h0023,AT,scr5,electricity,dem,6.33911678313146
h0024,AT,scr5,electricity,dem,6.01757007983476
