timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0073,FR,scr13,electricity,dem,58.0054288826476
h0074,FR,scr13,electricity,dem,56.5160167947355
h0075,FR,scr13,electricity,dem,53.7597420694608
h0076,FR,scr13,electricity,dem,52.774077234296
h0077,FR,scr13,electricity,dem,54.6431047068234
h0078,FR,scr13,electricity,dem,58.9121541573729
h0079,FR,scr13,electricity,dem,63.3706596518784
h0080,FR,scr13,electricity,dem,65.3758794320982
h0081,FR,scr13,electricity,dem,66.5259893222081
h0082,FR,scr13,electricity,dem,66.7528849266036
h0083,FR,scr13,electricity,dem,66.8313739375927
h0084,FR,scr13,electricity,dem,66.8942310804498
h0085,FR,scr13,electricity,dem,65.1648134980322
h0086,FR,scr13,electricity,dem,63.0889069046256
h0087,FR,scr13,electricity,dem,61.102066245285
h0088,FR,scr13,electricity,dem,60.5415827288015
h0089,FR,scr13,electricity,dem,62.8893959156147
h0090,FR,scr13,electricity,dem,67.1600607507795
h0091,FR,scr13,electricity,dem,68.0705277837465
h0092,FR,scr13,electricity,dem,64.7678849266037
h0093,FR,scr13,electricity,dem,61.4316981134168
h0094,FR,scr13,electricity,dem,61.8224398716586
h0095,FR,scr13,electricity,dem,62.9190167947355
h0096,FR,scr13,electricity,dem,60.2372145969334
