timestep_4,region_1,scenario_1,technology_1,parameter,value
h0049,LU,scr11,wind,avaConv,0.565304232530358
h0050,LU,scr11,wind,avaConv,0.376408294133069
h0051,LU,scr11,wind,avaConv,0.258613067276064
h0052,LU,scr11,wind,avaConv,0.226005332033389
h0053,LU,scr11,wind,avaConv,0.15117040531802
h0054,LU,scr11,wind,avaConv,0.0902510275029556
h0055,LU,scr11,wind,avaConv,0.103012432832585
h0056,LU,scr11,wind,avaConv,0.10163508470695
h0057,LU,scr11,wind,avaConv,0.135927468855125
h0058,LU,scr11,wind,avaConv,0.228098898930279
h0059,LU,scr11,wind,avaConv,0.343402728874307
h0060,LU,scr11,wind,avaConv,0.483656282438069
h0061,LU,scr11,wind,avaConv,0.585050957009573
h0062,LU,scr11,wind,avaConv,0.813976336090666
h0063,LU,scr11,wind,avaConv,0.875794174600036
h0064,LU,scr11,wind,avaConv,0.8900350583743
h0065,LU,scr11,wind,avaConv,0.857310196165938
h0066,LU,scr11,wind,avaConv,0.93129287270451
h0067,LU,scr11,wind,avaConv,0.955989084615512
h0068,LU,scr11,wind,avaConv,0.962278429649068
h0069,LU,scr11,wind,avaConv,0.967709842504733
h0070,LU,scr11,wind,avaConv,0.976904672889004
h0071,LU,scr11,wind,avaConv,0.980133086532481
h0072,LU,scr11,wind,avaConv,0.982004120500319
