timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0073,LU,scr15,electricity,dem,0.387797089381535
h0074,LU,scr15,electricity,dem,0.367630880590326
h0075,LU,scr15,electricity,dem,0.358879506963953
h0076,LU,scr15,electricity,dem,0.35621192454637
h0077,LU,scr15,electricity,dem,0.365678957513403
h0078,LU,scr15,electricity,dem,0.372879506963952
h0079,LU,scr15,electricity,dem,0.405909726744172
h0080,LU,scr15,electricity,dem,0.446999012458458
h0081,LU,scr15,electricity,dem,0.473010001469447
h0082,LU,scr15,electricity,dem,0.486578682788128
h0083,LU,scr15,electricity,dem,0.49843170476615
h0084,LU,scr15,electricity,dem,0.501812199271645
h0085,LU,scr15,electricity,dem,0.491788847623293
h0086,LU,scr15,electricity,dem,0.479314946524392
h0087,LU,scr15,electricity,dem,0.467636375095821
h0088,LU,scr15,electricity,dem,0.463706430040876
h0089,LU,scr15,electricity,dem,0.477369891579337
h0090,LU,scr15,electricity,dem,0.503010001469447
h0091,LU,scr15,electricity,dem,0.506652858612304
h0092,LU,scr15,electricity,dem,0.482363023447469
h0093,LU,scr15,electricity,dem,0.444217419051865
h0094,LU,scr15,electricity,dem,0.438518243227689
h0095,LU,scr15,electricity,dem,0.438218792678239
h0096,LU,scr15,electricity,dem,0.414724287183733
