timestep_4,region_1,scenario_1,technology_1,parameter,value
h0025,DE,scr6,solar,avaConv,0.0
h0026,DE,scr6,solar,avaConv,0.0
h0027,DE,scr6,solar,avaConv,0.0
h0028,DE,scr6,solar,avaConv,0.0
h0029,DE,scr6,solar,avaConv,0.0
h0030,DE,scr6,solar,avaConv,0.0
h0031,DE,scr6,solar,avaConv,0.0
h0032,DE,scr6,solar,avaConv,0.00300920470411903
h0033,DE,scr6,solar,avaConv,0.0274426650110186
h0034,DE,scr6,solar,avaConv,0.0625701052348677
h0035,DE,scr6,solar,avaConv,0.101305967538125
h0036,DE,scr6,solar,avaConv,0.120848555693192
h0037,DE,scr6,solar,avaConv,0.115673409778926
h0038,DE,scr6,solar,avaConv,0.0872511863468821
h0039,DE,scr6,solar,avaConv,0.0362417167451889
h0040,DE,scr6,solar,avaConv,0.00146143357418348
h0041,DE,scr6,solar,avaConv,0.0
h0042,DE,scr6,solar,avaConv,0.0
h0043,DE,scr6,solar,avaConv,0.0
h0044,DE,scr6,solar,avaConv,0.0
h0045,DE,scr6,solar,avaConv,0.0
h0046,DE,scr6,solar,avaConv,0.0
h0047,DE,scr6,solar,avaConv,0.0
h0048,DE,scr6,solar,avaConv,0.0
