timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,CH,scr1,electricity,dem,7.54662311874473
h0002,CH,scr1,electricity,dem,7.59157366819528
h0003,CH,scr1,electricity,dem,7.61560663522824
h0004,CH,scr1,electricity,dem,7.64951872314033
h0005,CH,scr1,electricity,dem,7.55004070116231
h0006,CH,scr1,electricity,dem,7.64663960226121
h0007,CH,scr1,electricity,dem,7.81379894292055
h0008,CH,scr1,electricity,dem,8.22176597588758
h0009,CH,scr1,electricity,dem,8.53957916270077
h0010,CH,scr1,electricity,dem,8.63426597588758
h0011,CH,scr1,electricity,dem,8.69471652533814
h0012,CH,scr1,electricity,dem,8.64399674511835
h0013,CH,scr1,electricity,dem,8.51689234951396
h0014,CH,scr1,electricity,dem,8.52221652533813
h0015,CH,scr1,electricity,dem,8.41858465720627
h0016,CH,scr1,electricity,dem,8.36106267918429
h0017,CH,scr1,electricity,dem,8.42798575610736
h0018,CH,scr1,electricity,dem,8.61358465720626
h0019,CH,scr1,electricity,dem,8.72739784401945
h0020,CH,scr1,electricity,dem,8.4804582835799
h0021,CH,scr1,electricity,dem,8.08957916270077
h0022,CH,scr1,electricity,dem,7.83017256929418
h0023,CH,scr1,electricity,dem,7.77010663522824
h0024,CH,scr1,electricity,dem,7.61219454731616
