timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,LU,scr4,electricity,dem,0.515231628842535
h0002,LU,scr4,electricity,dem,0.495065420051326
h0003,LU,scr4,electricity,dem,0.486314046424953
h0004,LU,scr4,electricity,dem,0.48364646400737
h0005,LU,scr4,electricity,dem,0.493113496974403
h0006,LU,scr4,electricity,dem,0.500314046424952
h0007,LU,scr4,electricity,dem,0.533344266205172
h0008,LU,scr4,electricity,dem,0.574433551919458
h0009,LU,scr4,electricity,dem,0.600444540930447
h0010,LU,scr4,electricity,dem,0.614013222249128
h0011,LU,scr4,electricity,dem,0.62586624422715
h0012,LU,scr4,electricity,dem,0.629246738732645
h0013,LU,scr4,electricity,dem,0.619223387084293
h0014,LU,scr4,electricity,dem,0.606749485985392
h0015,LU,scr4,electricity,dem,0.595070914556821
h0016,LU,scr4,electricity,dem,0.591140969501876
h0017,LU,scr4,electricity,dem,0.604804431040337
h0018,LU,scr4,electricity,dem,0.630444540930447
h0019,LU,scr4,electricity,dem,0.634087398073304
h0020,LU,scr4,electricity,dem,0.609797562908469
h0021,LU,scr4,electricity,dem,0.571651958512865
h0022,LU,scr4,electricity,dem,0.565952782688689
h0023,LU,scr4,electricity,dem,0.565653332139239
h0024,LU,scr4,electricity,dem,0.542158826644733
