timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,DE,scr16,wind,avaConv,0.9821709145907
h0074,DE,scr16,wind,avaConv,0.975002180456566
h0075,DE,scr16,wind,avaConv,0.964203519975789
h0076,DE,scr16,wind,avaConv,0.947987854472002
h0077,DE,scr16,wind,avaConv,0.949163424663625
h0078,DE,scr16,wind,avaConv,0.949991689562395
h0079,DE,scr16,wind,avaConv,0.945300440429753
h0080,DE,scr16,wind,avaConv,0.939593918499184
h0081,DE,scr16,wind,avaConv,0.967710270777104
h0082,DE,scr16,wind,avaConv,0.994005468831302
h0083,DE,scr16,wind,avaConv,0.996460325794182
h0084,DE,scr16,wind,avaConv,0.995740575891377
h0085,DE,scr16,wind,avaConv,0.995064934802482
h0086,DE,scr16,wind,avaConv,0.993991411442892
h0087,DE,scr16,wind,avaConv,0.988147441119355
h0088,DE,scr16,wind,avaConv,0.977644107165448
h0089,DE,scr16,wind,avaConv,0.960840448216987
h0090,DE,scr16,wind,avaConv,0.940478232584068
h0091,DE,scr16,wind,avaConv,0.918468600205264
h0092,DE,scr16,wind,avaConv,0.846767007394843
h0093,DE,scr16,wind,avaConv,0.760049040336027
h0094,DE,scr16,wind,avaConv,0.715558756381137
h0095,DE,scr16,wind,avaConv,0.694620956356364
h0096,DE,scr16,wind,avaConv,0.660106098406398
