carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_balance
electricity,,7,1,3,3,eq
h2,,5,1,4,4,eq
districtHeat,,6,2,4,4,eq
spaceHeat,,6,2,4,4,none
