carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_balance
electricity,,7,1,3,3,eq
h2,,7,1,4,4,eq
districtHeat,,7,2,4,4,eq
spaceHeat,,7,2,4,4,none
