timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2209,CH,scr2,electricity,dem,6.69119807795964
h2210,CH,scr2,electricity,dem,6.732335440597
h2211,CH,scr2,electricity,dem,6.77456620982777
h2212,CH,scr2,electricity,dem,6.70214862741018
h2213,CH,scr2,electricity,dem,6.76412115488271
h2214,CH,scr2,electricity,dem,6.94739038565194
h2215,CH,scr2,electricity,dem,7.30257719883875
h2216,CH,scr2,electricity,dem,7.60919807795964
h2217,CH,scr2,electricity,dem,7.77468159444315
h2218,CH,scr2,electricity,dem,7.88625302301458
h2219,CH,scr2,electricity,dem,8.0078299460915
h2220,CH,scr2,electricity,dem,7.8351321438937
h2221,CH,scr2,electricity,dem,7.76698928675084
h2222,CH,scr2,electricity,dem,7.70321456147612
h2223,CH,scr2,electricity,dem,7.60022005598161
h2224,CH,scr2,electricity,dem,7.51309368235523
h2225,CH,scr2,electricity,dem,7.41886840762997
h2226,CH,scr2,electricity,dem,7.34317609993766
h2227,CH,scr2,electricity,dem,7.33656071532227
h2228,CH,scr2,electricity,dem,7.34348379224535
h2229,CH,scr2,electricity,dem,7.19479697905853
h2230,CH,scr2,electricity,dem,7.01057719883875
h2231,CH,scr2,electricity,dem,6.7671321438937
h2232,CH,scr2,electricity,dem,6.68691785817942
h2233,CH,scr2,electricity,dem,6.06759302642964
h2234,CH,scr2,electricity,dem,6.108730389067
h2235,CH,scr2,electricity,dem,6.15096115829777
h2236,CH,scr2,electricity,dem,6.07854357588019
h2237,CH,scr2,electricity,dem,6.14051610335271
h2238,CH,scr2,electricity,dem,6.32378533412194
h2239,CH,scr2,electricity,dem,6.67897214730875
h2240,CH,scr2,electricity,dem,6.98559302642964
h2241,CH,scr2,electricity,dem,7.15107654291315
h2242,CH,scr2,electricity,dem,7.26264797148458
h2243,CH,scr2,electricity,dem,7.3842248945615
h2244,CH,scr2,electricity,dem,7.2115270923637
h2245,CH,scr2,electricity,dem,7.14338423522084
h2246,CH,scr2,electricity,dem,7.07960950994612
h2247,CH,scr2,electricity,dem,6.97661500445161
h2248,CH,scr2,electricity,dem,6.88948863082524
h2249,CH,scr2,electricity,dem,6.79526335609997
h2250,CH,scr2,electricity,dem,6.71957104840766
h2251,CH,scr2,electricity,dem,6.71295566379227
h2252,CH,scr2,electricity,dem,6.71987874071535
h2253,CH,scr2,electricity,dem,6.57119192752853
h2254,CH,scr2,electricity,dem,6.38697214730876
h2255,CH,scr2,electricity,dem,6.1435270923637
h2256,CH,scr2,electricity,dem,6.06331280664942
h2257,CH,scr2,electricity,dem,6.15240011212964
h2258,CH,scr2,electricity,dem,6.193537474767
h2259,CH,scr2,electricity,dem,6.23576824399777
h2260,CH,scr2,electricity,dem,6.16335066158019
h2261,CH,scr2,electricity,dem,6.22532318905271
h2262,CH,scr2,electricity,dem,6.40859241982194
h2263,CH,scr2,electricity,dem,6.76377923300875
h2264,CH,scr2,electricity,dem,7.07040011212964
h2265,CH,scr2,electricity,dem,7.23588362861315
h2266,CH,scr2,electricity,dem,7.34745505718458
h2267,CH,scr2,electricity,dem,7.4690319802615
h2268,CH,scr2,electricity,dem,7.2963341780637
h2269,CH,scr2,electricity,dem,7.22819132092084
h2270,CH,scr2,electricity,dem,7.16441659564612
h2271,CH,scr2,electricity,dem,7.06142209015161
h2272,CH,scr2,electricity,dem,6.97429571652523
h2273,CH,scr2,electricity,dem,6.88007044179997
h2274,CH,scr2,electricity,dem,6.80437813410766
h2275,CH,scr2,electricity,dem,6.79776274949227
h2276,CH,scr2,electricity,dem,6.80468582641535
h2277,CH,scr2,electricity,dem,6.65599901322853
h2278,CH,scr2,electricity,dem,6.47177923300875
h2279,CH,scr2,electricity,dem,6.2283341780637
h2280,CH,scr2,electricity,dem,6.14811989234942
h2281,CH,scr2,electricity,dem,6.83699347489964
h2282,CH,scr2,electricity,dem,6.878130837537
h2283,CH,scr2,electricity,dem,6.92036160676777
h2284,CH,scr2,electricity,dem,6.84794402435019
h2285,CH,scr2,electricity,dem,6.90991655182271
h2286,CH,scr2,electricity,dem,7.09318578259194
h2287,CH,scr2,electricity,dem,7.44837259577875
h2288,CH,scr2,electricity,dem,7.75499347489964
h2289,CH,scr2,electricity,dem,7.92047699138315
h2290,CH,scr2,electricity,dem,8.03204841995458
h2291,CH,scr2,electricity,dem,8.1536253430315
h2292,CH,scr2,electricity,dem,7.9809275408337
h2293,CH,scr2,electricity,dem,7.91278468369084
h2294,CH,scr2,electricity,dem,7.84900995841612
h2295,CH,scr2,electricity,dem,7.74601545292161
h2296,CH,scr2,electricity,dem,7.65888907929524
h2297,CH,scr2,electricity,dem,7.56466380456997
h2298,CH,scr2,electricity,dem,7.48897149687766
h2299,CH,scr2,electricity,dem,7.48235611226227
h2300,CH,scr2,electricity,dem,7.48927918918535
h2301,CH,scr2,electricity,dem,7.34059237599853
h2302,CH,scr2,electricity,dem,7.15637259577876
h2303,CH,scr2,electricity,dem,6.9129275408337
h2304,CH,scr2,electricity,dem,6.83271325511942
h2305,CH,scr2,electricity,dem,6.75424183484964
