timestep_4,region_1,scenario_1,carrier_1,parameter,value
h6577,LU,scr4,electricity,dem,0.44216132135782
h6578,LU,scr4,electricity,dem,0.432721772177492
h6579,LU,scr4,electricity,dem,0.430878534472574
h6580,LU,scr4,electricity,dem,0.43680988693159
h6581,LU,scr4,electricity,dem,0.447993288570934
h6582,LU,scr4,electricity,dem,0.47396357545618
h6583,LU,scr4,electricity,dem,0.507120337751262
h6584,LU,scr4,electricity,dem,0.536985091849624
h6585,LU,scr4,electricity,dem,0.554331403325033
h6586,LU,scr4,electricity,dem,0.566333452505361
h6587,LU,scr4,electricity,dem,0.572016854144705
h6588,LU,scr4,electricity,dem,0.567396977095525
h6589,LU,scr4,electricity,dem,0.558958452505361
h6590,LU,scr4,electricity,dem,0.546493288570935
h6591,LU,scr4,electricity,dem,0.539546567259459
h6592,LU,scr4,electricity,dem,0.541346772177492
h6593,LU,scr4,electricity,dem,0.554042468898803
h6594,LU,scr4,electricity,dem,0.566297591849623
h6595,LU,scr4,electricity,dem,0.563162345947984
h6596,LU,scr4,electricity,dem,0.549506608243066
h6597,LU,scr4,electricity,dem,0.531266854144705
h6598,LU,scr4,electricity,dem,0.509500460702082
h6599,LU,scr4,electricity,dem,0.485763780374213
h6600,LU,scr4,electricity,dem,0.46096357545618
h6601,LU,scr4,electricity,dem,0.36846812584182
h6602,LU,scr4,electricity,dem,0.359028576661492
h6603,LU,scr4,electricity,dem,0.357185338956574
h6604,LU,scr4,electricity,dem,0.36311669141559
h6605,LU,scr4,electricity,dem,0.374300093054934
h6606,LU,scr4,electricity,dem,0.40027037994018
h6607,LU,scr4,electricity,dem,0.433427142235262
h6608,LU,scr4,electricity,dem,0.463291896333623
h6609,LU,scr4,electricity,dem,0.480638207809033
h6610,LU,scr4,electricity,dem,0.492640256989361
h6611,LU,scr4,electricity,dem,0.498323658628705
h6612,LU,scr4,electricity,dem,0.493703781579525
h6613,LU,scr4,electricity,dem,0.485265256989361
