timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2209,BE,scr4,electricity,dem,7.99470116699879
h2210,BE,scr4,electricity,dem,7.81278633183396
h2211,BE,scr4,electricity,dem,7.81983578238341
h2212,BE,scr4,electricity,dem,8.07504594721858
h2213,BE,scr4,electricity,dem,8.63705144172407
h2214,BE,scr4,electricity,dem,9.31365858458122
h2215,BE,scr4,electricity,dem,9.79581380436144
h2216,BE,scr4,electricity,dem,10.1342671010647
h2217,BE,scr4,electricity,dem,10.3051008922735
h2218,BE,scr4,electricity,dem,10.404459408757
h2219,BE,scr4,electricity,dem,10.3090445735922
h2220,BE,scr4,electricity,dem,10.1526723208449
h2221,BE,scr4,electricity,dem,9.9811228702955
h2222,BE,scr4,electricity,dem,9.84633715600978
h2223,BE,scr4,electricity,dem,9.75583578238341
h2224,BE,scr4,electricity,dem,9.76920940875703
h2225,BE,scr4,electricity,dem,9.82431243073506
h2226,BE,scr4,electricity,dem,9.80253083732846
h2227,BE,scr4,electricity,dem,9.8169250680977
h2228,BE,scr4,electricity,dem,9.66848276040539
h2229,BE,scr4,electricity,dem,9.54838248568011
h2230,BE,scr4,electricity,dem,9.35176572743836
h2231,BE,scr4,electricity,dem,8.84576435381198
h2232,BE,scr4,electricity,dem,8.33771078238341
h2233,BE,scr4,electricity,dem,7.37780454925879
h2234,BE,scr4,electricity,dem,7.19588971409396
h2235,BE,scr4,electricity,dem,7.20293916464341
h2236,BE,scr4,electricity,dem,7.45814932947858
h2237,BE,scr4,electricity,dem,8.02015482398407
h2238,BE,scr4,electricity,dem,8.69676196684122
h2239,BE,scr4,electricity,dem,9.17891718662143
h2240,BE,scr4,electricity,dem,9.51737048332473
h2241,BE,scr4,electricity,dem,9.68820427453352
h2242,BE,scr4,electricity,dem,9.78756279101703
h2243,BE,scr4,electricity,dem,9.6921479558522
h2244,BE,scr4,electricity,dem,9.53577570310495
h2245,BE,scr4,electricity,dem,9.3642262525555
h2246,BE,scr4,electricity,dem,9.22944053826978
h2247,BE,scr4,electricity,dem,9.13893916464341
h2248,BE,scr4,electricity,dem,9.15231279101703
h2249,BE,scr4,electricity,dem,9.20741581299506
h2250,BE,scr4,electricity,dem,9.18563421958846
h2251,BE,scr4,electricity,dem,9.2000284503577
h2252,BE,scr4,electricity,dem,9.05158614266539
h2253,BE,scr4,electricity,dem,8.93148586794012
h2254,BE,scr4,electricity,dem,8.73486910969836
h2255,BE,scr4,electricity,dem,8.22886773607198
h2256,BE,scr4,electricity,dem,7.72081416464341
