timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,NL,scr1,wind,avaConv,0.00430702429746309
h0002,NL,scr1,wind,avaConv,0.00515808818243776
h0003,NL,scr1,wind,avaConv,0.00668355022673818
h0004,NL,scr1,wind,avaConv,0.00703749817045629
h0005,NL,scr1,wind,avaConv,0.0067475505388455
h0006,NL,scr1,wind,avaConv,0.00974900106633705
h0007,NL,scr1,wind,avaConv,0.0141459861864488
h0008,NL,scr1,wind,avaConv,0.020960743374897
h0009,NL,scr1,wind,avaConv,0.033431509428981
h0010,NL,scr1,wind,avaConv,0.0468878254796343
h0011,NL,scr1,wind,avaConv,0.0654597873783638
h0012,NL,scr1,wind,avaConv,0.0711831958965568
h0013,NL,scr1,wind,avaConv,0.0723424157312923
h0014,NL,scr1,wind,avaConv,0.0801589832282841
h0015,NL,scr1,wind,avaConv,0.0578967576324506
h0016,NL,scr1,wind,avaConv,0.0392763346648084
h0017,NL,scr1,wind,avaConv,0.0759811792547337
h0018,NL,scr1,wind,avaConv,0.114663016516345
h0019,NL,scr1,wind,avaConv,0.151913070326
h0020,NL,scr1,wind,avaConv,0.179738246743842
h0021,NL,scr1,wind,avaConv,0.206497534623925
h0022,NL,scr1,wind,avaConv,0.230223312945079
h0023,NL,scr1,wind,avaConv,0.225031927259783
h0024,NL,scr1,wind,avaConv,0.222209610376834
h0025,NL,scr1,wind,avaConv,0.230417792389309
h0026,NL,scr1,wind,avaConv,0.236028095231466
h0027,NL,scr1,wind,avaConv,0.242243388572975
h0028,NL,scr1,wind,avaConv,0.246292472411794
h0029,NL,scr1,wind,avaConv,0.266361854715771
h0030,NL,scr1,wind,avaConv,0.282815902106242
h0031,NL,scr1,wind,avaConv,0.302328993000696
h0032,NL,scr1,wind,avaConv,0.290025490161636
h0033,NL,scr1,wind,avaConv,0.254159894906388
h0034,NL,scr1,wind,avaConv,0.271908318846176
h0035,NL,scr1,wind,avaConv,0.233868928428164
h0036,NL,scr1,wind,avaConv,0.222864158859005
h0037,NL,scr1,wind,avaConv,0.239847290555891
h0038,NL,scr1,wind,avaConv,0.274708929467137
h0039,NL,scr1,wind,avaConv,0.235385277997604
h0040,NL,scr1,wind,avaConv,0.195906898232265
h0041,NL,scr1,wind,avaConv,0.238878401217613
h0042,NL,scr1,wind,avaConv,0.282219776478023
h0043,NL,scr1,wind,avaConv,0.340969489454128
h0044,NL,scr1,wind,avaConv,0.377279996823692
h0045,NL,scr1,wind,avaConv,0.372727615233444
h0046,NL,scr1,wind,avaConv,0.367533898043938
h0047,NL,scr1,wind,avaConv,0.344380972031301
h0048,NL,scr1,wind,avaConv,0.356249027063512
h0049,NL,scr1,wind,avaConv,0.379188813915189
h0050,NL,scr1,wind,avaConv,0.394360242521242
h0051,NL,scr1,wind,avaConv,0.375934754025849
h0052,NL,scr1,wind,avaConv,0.328617241371251
