timestep_4,region_1,scenario_1,technology_1,parameter,value
h6577,CH,scr2,wind,avaConv,0.00424317108408474
h6578,CH,scr2,wind,avaConv,0.00141439036136158
h6579,CH,scr2,wind,avaConv,0.0
h6580,CH,scr2,wind,avaConv,0.0
h6581,CH,scr2,wind,avaConv,0.0
h6582,CH,scr2,wind,avaConv,0.0
h6583,CH,scr2,wind,avaConv,0.0
h6584,CH,scr2,wind,avaConv,0.0
h6585,CH,scr2,wind,avaConv,0.0263590930981021
h6586,CH,scr2,wind,avaConv,0.126202194516035
h6587,CH,scr2,wind,avaConv,0.321548790561361
h6588,CH,scr2,wind,avaConv,0.523916172508134
h6589,CH,scr2,wind,avaConv,0.579563272591601
h6590,CH,scr2,wind,avaConv,0.591108475371911
h6591,CH,scr2,wind,avaConv,0.579819201873843
h6592,CH,scr2,wind,avaConv,0.46740791295238
h6593,CH,scr2,wind,avaConv,0.247976540931135
h6594,CH,scr2,wind,avaConv,0.0105778810589573
h6595,CH,scr2,wind,avaConv,0.00433111245278363
h6596,CH,scr2,wind,avaConv,0.00365396382408252
h6597,CH,scr2,wind,avaConv,0.0161775473997872
h6598,CH,scr2,wind,avaConv,0.0423232154991725
h6599,CH,scr2,wind,avaConv,0.0438116231433983
h6600,CH,scr2,wind,avaConv,0.0340071599926973
h6601,CH,scr2,wind,avaConv,0.0209119908488906
h6602,CH,scr2,wind,avaConv,0.024798999290532
h6603,CH,scr2,wind,avaConv,0.0267022636820897
h6604,CH,scr2,wind,avaConv,0.0358199513883767
h6605,CH,scr2,wind,avaConv,0.0321563939625457
h6606,CH,scr2,wind,avaConv,0.03750183004101
h6607,CH,scr2,wind,avaConv,0.0330557943242388
h6608,CH,scr2,wind,avaConv,0.0876671174567591
h6609,CH,scr2,wind,avaConv,0.137236469668767
h6610,CH,scr2,wind,avaConv,0.16555452399814
h6611,CH,scr2,wind,avaConv,0.212083770138903
h6612,CH,scr2,wind,avaConv,0.321754419759199
h6613,CH,scr2,wind,avaConv,0.379643991662994
h6614,CH,scr2,wind,avaConv,0.440011211653648
h6615,CH,scr2,wind,avaConv,0.439624802613915
h6616,CH,scr2,wind,avaConv,0.414965076615145
h6617,CH,scr2,wind,avaConv,0.273893195779954
h6618,CH,scr2,wind,avaConv,0.0506287458896475
h6619,CH,scr2,wind,avaConv,0.0127295132522542
h6620,CH,scr2,wind,avaConv,0.0165869415105131
h6621,CH,scr2,wind,avaConv,0.0127295132522542
h6622,CH,scr2,wind,avaConv,0.0127295132522542
h6623,CH,scr2,wind,avaConv,0.00424317108408474
h6624,CH,scr2,wind,avaConv,0.0
h6625,CH,scr2,wind,avaConv,0.0
h6626,CH,scr2,wind,avaConv,0.0
h6627,CH,scr2,wind,avaConv,0.0
h6628,CH,scr2,wind,avaConv,0.0
h6629,CH,scr2,wind,avaConv,0.0
h6630,CH,scr2,wind,avaConv,0.0
h6631,CH,scr2,wind,avaConv,0.0
h6632,CH,scr2,wind,avaConv,0.0
h6633,CH,scr2,wind,avaConv,0.0
h6634,CH,scr2,wind,avaConv,0.0
h6635,CH,scr2,wind,avaConv,0.0
h6636,CH,scr2,wind,avaConv,0.0
h6637,CH,scr2,wind,avaConv,0.0
h6638,CH,scr2,wind,avaConv,0.0
h6639,CH,scr2,wind,avaConv,0.0
h6640,CH,scr2,wind,avaConv,0.0
h6641,CH,scr2,wind,avaConv,0.0
h6642,CH,scr2,wind,avaConv,0.0
h6643,CH,scr2,wind,avaConv,0.0
h6644,CH,scr2,wind,avaConv,0.0
h6645,CH,scr2,wind,avaConv,0.0
h6646,CH,scr2,wind,avaConv,0.0
h6647,CH,scr2,wind,avaConv,0.0
h6648,CH,scr2,wind,avaConv,0.0
h6649,CH,scr2,wind,avaConv,0.0
h6650,CH,scr2,wind,avaConv,0.0
h6651,CH,scr2,wind,avaConv,0.0
h6652,CH,scr2,wind,avaConv,0.0
h6653,CH,scr2,wind,avaConv,0.0
h6654,CH,scr2,wind,avaConv,0.0
h6655,CH,scr2,wind,avaConv,0.0
h6656,CH,scr2,wind,avaConv,0.0
h6657,CH,scr2,wind,avaConv,0.0
h6658,CH,scr2,wind,avaConv,0.0
h6659,CH,scr2,wind,avaConv,0.0
h6660,CH,scr2,wind,avaConv,0.0
h6661,CH,scr2,wind,avaConv,0.0100223847532736
h6662,CH,scr2,wind,avaConv,0.0128511654759968
h6663,CH,scr2,wind,avaConv,0.00424317108408474
h6664,CH,scr2,wind,avaConv,0.0
h6665,CH,scr2,wind,avaConv,0.0
h6666,CH,scr2,wind,avaConv,0.0
h6667,CH,scr2,wind,avaConv,0.0
h6668,CH,scr2,wind,avaConv,0.0
h6669,CH,scr2,wind,avaConv,0.0
h6670,CH,scr2,wind,avaConv,0.0
h6671,CH,scr2,wind,avaConv,0.0
h6672,CH,scr2,wind,avaConv,0.0
h6673,CH,scr2,wind,avaConv,0.0263590930981021
h6674,CH,scr2,wind,avaConv,0.0727125226681794
h6675,CH,scr2,wind,avaConv,0.133884905797068
h6676,CH,scr2,wind,avaConv,0.168601760121397
h6677,CH,scr2,wind,avaConv,0.112829776554071
h6678,CH,scr2,wind,avaConv,0.0312451688918967
h6679,CH,scr2,wind,avaConv,0.000290206512611237
h6680,CH,scr2,wind,avaConv,0.00348101250034622
h6681,CH,scr2,wind,avaConv,0.0197893061439937
h6682,CH,scr2,wind,avaConv,0.03919060441225
h6683,CH,scr2,wind,avaConv,0.0485330426379556
h6684,CH,scr2,wind,avaConv,0.042295101546606
h6685,CH,scr2,wind,avaConv,0.0541587254050192
