timestep_4,region_1,scenario_1,carrier_1,parameter,value
h4393,CH,scr1,electricity,dem,5.42545967849989
h4394,CH,scr1,electricity,dem,5.52581213751628
h4395,CH,scr1,electricity,dem,5.52778754735235
h4396,CH,scr1,electricity,dem,5.357041645713
h4397,CH,scr1,electricity,dem,5.38009082604087
h4398,CH,scr1,electricity,dem,5.47054984243432
h4399,CH,scr1,electricity,dem,5.88581213751629
h4400,CH,scr1,electricity,dem,6.23906623587694
h4401,CH,scr1,electricity,dem,6.39858262931956
h4402,CH,scr1,electricity,dem,6.60699246538514
h4403,CH,scr1,electricity,dem,6.80622197358186
h4404,CH,scr1,electricity,dem,6.53659902276219
h4405,CH,scr1,electricity,dem,6.60819738341792
h4406,CH,scr1,electricity,dem,6.56658262931956
h4407,CH,scr1,electricity,dem,6.49768918669661
h4408,CH,scr1,electricity,dem,6.37952525227038
h4409,CH,scr1,electricity,dem,6.19426295718842
h4410,CH,scr1,electricity,dem,6.03797607194252
h4411,CH,scr1,electricity,dem,5.81179574407366
h4412,CH,scr1,electricity,dem,5.59859902276219
h4413,CH,scr1,electricity,dem,5.61590230145071
h4414,CH,scr1,electricity,dem,5.63805803915563
h4415,CH,scr1,electricity,dem,5.34221377686054
h4416,CH,scr1,electricity,dem,5.32123017030317
h4417,CH,scr1,electricity,dem,5.11366267400989
h4418,CH,scr1,electricity,dem,5.21401513302628
h4419,CH,scr1,electricity,dem,5.21599054286235
h4420,CH,scr1,electricity,dem,5.045244641223
h4421,CH,scr1,electricity,dem,5.06829382155087
h4422,CH,scr1,electricity,dem,5.15875283794432
h4423,CH,scr1,electricity,dem,5.57401513302629
h4424,CH,scr1,electricity,dem,5.92726923138694
h4425,CH,scr1,electricity,dem,6.08678562482956
h4426,CH,scr1,electricity,dem,6.29519546089514
h4427,CH,scr1,electricity,dem,6.49442496909186
h4428,CH,scr1,electricity,dem,6.22480201827219
h4429,CH,scr1,electricity,dem,6.29640037892792
h4430,CH,scr1,electricity,dem,6.25478562482956
h4431,CH,scr1,electricity,dem,6.18589218220661
h4432,CH,scr1,electricity,dem,6.06772824778038
h4433,CH,scr1,electricity,dem,5.88246595269842
h4434,CH,scr1,electricity,dem,5.72617906745252
h4435,CH,scr1,electricity,dem,5.49999873958366
h4436,CH,scr1,electricity,dem,5.28680201827219
h4437,CH,scr1,electricity,dem,5.30410529696071
h4438,CH,scr1,electricity,dem,5.32626103466563
h4439,CH,scr1,electricity,dem,5.03041677237054
h4440,CH,scr1,electricity,dem,5.00943316581317
h4441,CH,scr1,electricity,dem,5.80436238679989
h4442,CH,scr1,electricity,dem,5.90471484581628
h4443,CH,scr1,electricity,dem,5.90669025565235
h4444,CH,scr1,electricity,dem,5.735944354013
h4445,CH,scr1,electricity,dem,5.75899353434087
h4446,CH,scr1,electricity,dem,5.84945255073432
h4447,CH,scr1,electricity,dem,6.26471484581629
h4448,CH,scr1,electricity,dem,6.61796894417694
h4449,CH,scr1,electricity,dem,6.77748533761956
h4450,CH,scr1,electricity,dem,6.98589517368514
h4451,CH,scr1,electricity,dem,7.18512468188186
h4452,CH,scr1,electricity,dem,6.91550173106219
h4453,CH,scr1,electricity,dem,6.98710009171792
h4454,CH,scr1,electricity,dem,6.94548533761956
h4455,CH,scr1,electricity,dem,6.87659189499661
h4456,CH,scr1,electricity,dem,6.75842796057038
h4457,CH,scr1,electricity,dem,6.57316566548842
h4458,CH,scr1,electricity,dem,6.41687878024252
h4459,CH,scr1,electricity,dem,6.19069845237366
h4460,CH,scr1,electricity,dem,5.97750173106219
h4461,CH,scr1,electricity,dem,5.99480500975071
h4462,CH,scr1,electricity,dem,6.01696074745563
h4463,CH,scr1,electricity,dem,5.72111648516054
h4464,CH,scr1,electricity,dem,5.70013287860317
h4465,CH,scr1,electricity,dem,5.96992727578989
h4466,CH,scr1,electricity,dem,6.07027973480628
h4467,CH,scr1,electricity,dem,6.07225514464235
h4468,CH,scr1,electricity,dem,5.901509243003
h4469,CH,scr1,electricity,dem,5.92455842333087
h4470,CH,scr1,electricity,dem,6.01501743972432
h4471,CH,scr1,electricity,dem,6.43027973480629
h4472,CH,scr1,electricity,dem,6.78353383316694
h4473,CH,scr1,electricity,dem,6.94305022660956
h4474,CH,scr1,electricity,dem,7.15146006267514
h4475,CH,scr1,electricity,dem,7.35068957087186
h4476,CH,scr1,electricity,dem,7.08106662005219
h4477,CH,scr1,electricity,dem,7.15266498070792
h4478,CH,scr1,electricity,dem,7.11105022660956
h4479,CH,scr1,electricity,dem,7.04215678398661
h4480,CH,scr1,electricity,dem,6.92399284956038
h4481,CH,scr1,electricity,dem,6.73873055447842
h4482,CH,scr1,electricity,dem,6.58244366923252
h4483,CH,scr1,electricity,dem,6.35626334136366
h4484,CH,scr1,electricity,dem,6.14306662005219
h4485,CH,scr1,electricity,dem,6.16036989874071
h4486,CH,scr1,electricity,dem,6.18252563644563
h4487,CH,scr1,electricity,dem,5.88668137415055
h4488,CH,scr1,electricity,dem,5.86569776759317
h4489,CH,scr1,electricity,dem,5.90680722243989
h4490,CH,scr1,electricity,dem,6.00715968145628
h4491,CH,scr1,electricity,dem,6.00913509129235
h4492,CH,scr1,electricity,dem,5.838389189653
h4493,CH,scr1,electricity,dem,5.86143836998087
h4494,CH,scr1,electricity,dem,5.95189738637432
h4495,CH,scr1,electricity,dem,6.36715968145629
h4496,CH,scr1,electricity,dem,6.72041377981694
h4497,CH,scr1,electricity,dem,6.87993017325956
h4498,CH,scr1,electricity,dem,7.08834000932514
h4499,CH,scr1,electricity,dem,7.28756951752186
h4500,CH,scr1,electricity,dem,7.01794656670219
h4501,CH,scr1,electricity,dem,7.08954492735792
h4502,CH,scr1,electricity,dem,7.04793017325956
h4503,CH,scr1,electricity,dem,6.97903673063661
h4504,CH,scr1,electricity,dem,6.86087279621038
h4505,CH,scr1,electricity,dem,6.67561050112842
h4506,CH,scr1,electricity,dem,6.51932361588252
h4507,CH,scr1,electricity,dem,6.29314328801366
h4508,CH,scr1,electricity,dem,6.07994656670219
h4509,CH,scr1,electricity,dem,6.09724984539071
h4510,CH,scr1,electricity,dem,6.11940558309563
h4511,CH,scr1,electricity,dem,5.82356132080054
h4512,CH,scr1,electricity,dem,5.80257771424317
h4513,CH,scr1,electricity,dem,5.90680722243989
h4514,CH,scr1,electricity,dem,6.00715968145628
h4515,CH,scr1,electricity,dem,6.00913509129235
h4516,CH,scr1,electricity,dem,5.838389189653
h4517,CH,scr1,electricity,dem,5.86143836998087
h4518,CH,scr1,electricity,dem,5.95189738637432
h4519,CH,scr1,electricity,dem,6.36715968145629
h4520,CH,scr1,electricity,dem,6.72041377981694
h4521,CH,scr1,electricity,dem,6.87993017325956
h4522,CH,scr1,electricity,dem,7.08834000932514
h4523,CH,scr1,electricity,dem,7.28756951752186
h4524,CH,scr1,electricity,dem,7.01794656670219
h4525,CH,scr1,electricity,dem,7.08954492735792
h4526,CH,scr1,electricity,dem,7.04793017325956
h4527,CH,scr1,electricity,dem,6.97903673063661
h4528,CH,scr1,electricity,dem,6.86087279621038
h4529,CH,scr1,electricity,dem,6.67561050112842
h4530,CH,scr1,electricity,dem,6.51932361588252
h4531,CH,scr1,electricity,dem,6.29314328801366
h4532,CH,scr1,electricity,dem,6.07994656670219
h4533,CH,scr1,electricity,dem,6.09724984539071
h4534,CH,scr1,electricity,dem,6.11940558309563
h4535,CH,scr1,electricity,dem,5.82356132080054
h4536,CH,scr1,electricity,dem,5.80257771424317
h4537,CH,scr1,electricity,dem,6.06089462808989
h4538,CH,scr1,electricity,dem,6.16124708710628
h4539,CH,scr1,electricity,dem,6.16322249694235
h4540,CH,scr1,electricity,dem,5.992476595303
h4541,CH,scr1,electricity,dem,6.01552577563087
h4542,CH,scr1,electricity,dem,6.10598479202432
h4543,CH,scr1,electricity,dem,6.52124708710629
h4544,CH,scr1,electricity,dem,6.87450118546694
h4545,CH,scr1,electricity,dem,7.03401757890956
h4546,CH,scr1,electricity,dem,7.24242741497514
h4547,CH,scr1,electricity,dem,7.44165692317186
h4548,CH,scr1,electricity,dem,7.17203397235219
h4549,CH,scr1,electricity,dem,7.24363233300792
h4550,CH,scr1,electricity,dem,7.20201757890956
h4551,CH,scr1,electricity,dem,7.13312413628661
h4552,CH,scr1,electricity,dem,7.01496020186038
h4553,CH,scr1,electricity,dem,6.82969790677842
h4554,CH,scr1,electricity,dem,6.67341102153252
h4555,CH,scr1,electricity,dem,6.44723069366366
h4556,CH,scr1,electricity,dem,6.23403397235219
h4557,CH,scr1,electricity,dem,6.25133725104071
h4558,CH,scr1,electricity,dem,6.27349298874563
