timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2331,LU,scr4,electricity,dem,0.456546155226952
h2332,LU,scr4,electricity,dem,0.462467858523656
h2333,LU,scr4,electricity,dem,0.467437638743436
h2334,LU,scr4,electricity,dem,0.484985715666513
h2335,LU,scr4,electricity,dem,0.50965879258959
h2336,LU,scr4,electricity,dem,0.536175276106073
h2337,LU,scr4,electricity,dem,0.558309891490689
h2338,LU,scr4,electricity,dem,0.570712364018161
h2339,LU,scr4,electricity,dem,0.575506320062117
h2340,LU,scr4,electricity,dem,0.570642309073106
h2341,LU,scr4,electricity,dem,0.560226100281897
h2342,LU,scr4,electricity,dem,0.546856594787392
h2343,LU,scr4,electricity,dem,0.538838737644535
h2344,LU,scr4,electricity,dem,0.537682144237941
h2345,LU,scr4,electricity,dem,0.545254946435744
h2346,LU,scr4,electricity,dem,0.556401924457721
h2347,LU,scr4,electricity,dem,0.563039287095084
h2348,LU,scr4,electricity,dem,0.554429396985194
h2349,LU,scr4,electricity,dem,0.543529671710469
h2350,LU,scr4,electricity,dem,0.535232968413766
h2351,LU,scr4,electricity,dem,0.517771429952227
h2352,LU,scr4,electricity,dem,0.492191759622557
h2353,LU,scr4,electricity,dem,0.486353321850842
h2354,LU,scr4,electricity,dem,0.475733816356337
h2355,LU,scr4,electricity,dem,0.472868431740952
h2356,LU,scr4,electricity,dem,0.478790135037655
h2357,LU,scr4,electricity,dem,0.483759915257436
h2358,LU,scr4,electricity,dem,0.501307992180513
h2359,LU,scr4,electricity,dem,0.52598106910359
h2360,LU,scr4,electricity,dem,0.552497552620073
h2361,LU,scr4,electricity,dem,0.574632168004689
h2362,LU,scr4,electricity,dem,0.587034640532161
h2363,LU,scr4,electricity,dem,0.591828596576117
h2364,LU,scr4,electricity,dem,0.586964585587106
h2365,LU,scr4,electricity,dem,0.576548376795897
h2366,LU,scr4,electricity,dem,0.563178871301392
h2367,LU,scr4,electricity,dem,0.555161014158535
h2368,LU,scr4,electricity,dem,0.554004420751941
h2369,LU,scr4,electricity,dem,0.561577222949744
h2370,LU,scr4,electricity,dem,0.572724200971722
h2371,LU,scr4,electricity,dem,0.579361563609084
h2372,LU,scr4,electricity,dem,0.570751673499194
h2373,LU,scr4,electricity,dem,0.559851948224469
h2374,LU,scr4,electricity,dem,0.551555244927766
h2375,LU,scr4,electricity,dem,0.534093706466227
h2376,LU,scr4,electricity,dem,0.508514036136557
h2377,LU,scr4,electricity,dem,0.409125915972842
h2378,LU,scr4,electricity,dem,0.398506410478337
h2379,LU,scr4,electricity,dem,0.395641025862952
h2380,LU,scr4,electricity,dem,0.401562729159656
h2381,LU,scr4,electricity,dem,0.406532509379436
h2382,LU,scr4,electricity,dem,0.424080586302513
h2383,LU,scr4,electricity,dem,0.44875366322559
h2384,LU,scr4,electricity,dem,0.475270146742073
h2385,LU,scr4,electricity,dem,0.497404762126689
h2386,LU,scr4,electricity,dem,0.509807234654161
h2387,LU,scr4,electricity,dem,0.514601190698117
h2388,LU,scr4,electricity,dem,0.509737179709106
h2389,LU,scr4,electricity,dem,0.499320970917897
h2390,LU,scr4,electricity,dem,0.485951465423392
h2391,LU,scr4,electricity,dem,0.477933608280535
h2392,LU,scr4,electricity,dem,0.476777014873941
h2393,LU,scr4,electricity,dem,0.484349817071744
h2394,LU,scr4,electricity,dem,0.495496795093722
h2395,LU,scr4,electricity,dem,0.502134157731084
h2396,LU,scr4,electricity,dem,0.493524267621194
h2397,LU,scr4,electricity,dem,0.482624542346469
h2398,LU,scr4,electricity,dem,0.474327839049766
h2399,LU,scr4,electricity,dem,0.456866300588227
h2400,LU,scr4,electricity,dem,0.431286630258557
h2401,LU,scr4,electricity,dem,0.373736400145842
h2402,LU,scr4,electricity,dem,0.363116894651337
h2403,LU,scr4,electricity,dem,0.360251510035952
h2404,LU,scr4,electricity,dem,0.366173213332656
h2405,LU,scr4,electricity,dem,0.371142993552436
h2406,LU,scr4,electricity,dem,0.388691070475513
h2407,LU,scr4,electricity,dem,0.41336414739859
h2408,LU,scr4,electricity,dem,0.439880630915073
h2409,LU,scr4,electricity,dem,0.462015246299689
h2410,LU,scr4,electricity,dem,0.474417718827161
h2411,LU,scr4,electricity,dem,0.479211674871117
h2412,LU,scr4,electricity,dem,0.474347663882106
h2413,LU,scr4,electricity,dem,0.463931455090897
h2414,LU,scr4,electricity,dem,0.450561949596392
h2415,LU,scr4,electricity,dem,0.442544092453535
h2416,LU,scr4,electricity,dem,0.441387499046941
h2417,LU,scr4,electricity,dem,0.448960301244744
h2418,LU,scr4,electricity,dem,0.460107279266722
