timestep_4,region_1,scenario_1,carrier_1,parameter,value
h4393,FR,scr2,electricity,dem,40.1341963700454
h4394,FR,scr2,electricity,dem,37.8316389929962
h4395,FR,scr2,electricity,dem,37.0633111241437
h4396,FR,scr2,electricity,dem,37.9568521077503
h4397,FR,scr2,electricity,dem,39.949106206111
h4398,FR,scr2,electricity,dem,43.4009586651273
h4399,FR,scr2,electricity,dem,46.6770488290618
h4400,FR,scr2,electricity,dem,49.1279422716847
h4401,FR,scr2,electricity,dem,50.5412209602093
h4402,FR,scr2,electricity,dem,51.5890078454552
h4403,FR,scr2,electricity,dem,52.5867865339798
h4404,FR,scr2,electricity,dem,51.6339340749634
h4405,FR,scr2,electricity,dem,50.902843911029
h4406,FR,scr2,electricity,dem,49.6377209602093
h4407,FR,scr2,electricity,dem,48.3947373536519
h4408,FR,scr2,electricity,dem,47.7133521077503
h4409,FR,scr2,electricity,dem,48.2509012880782
h4410,FR,scr2,electricity,dem,48.3828685011929
h4411,FR,scr2,electricity,dem,46.3993848946355
h4412,FR,scr2,electricity,dem,45.3565242388978
h4413,FR,scr2,electricity,dem,48.0451635831601
h4414,FR,scr2,electricity,dem,49.097212763488
h4415,FR,scr2,electricity,dem,45.0679914520126
h4416,FR,scr2,electricity,dem,41.8602045667666
h4417,FR,scr2,electricity,dem,40.1341963700454
h4418,FR,scr2,electricity,dem,37.8316389929962
h4419,FR,scr2,electricity,dem,37.0633111241437
h4420,FR,scr2,electricity,dem,37.9568521077503
h4421,FR,scr2,electricity,dem,39.949106206111
h4422,FR,scr2,electricity,dem,43.4009586651273
h4423,FR,scr2,electricity,dem,46.6770488290618
h4424,FR,scr2,electricity,dem,49.1279422716847
h4425,FR,scr2,electricity,dem,50.5412209602093
h4426,FR,scr2,electricity,dem,51.5890078454552
h4427,FR,scr2,electricity,dem,52.5867865339798
h4428,FR,scr2,electricity,dem,51.6339340749634
h4429,FR,scr2,electricity,dem,50.902843911029
h4430,FR,scr2,electricity,dem,49.6377209602093
h4431,FR,scr2,electricity,dem,48.3947373536519
h4432,FR,scr2,electricity,dem,47.7133521077503
h4433,FR,scr2,electricity,dem,48.2509012880782
h4434,FR,scr2,electricity,dem,48.3828685011929
h4435,FR,scr2,electricity,dem,46.3993848946355
h4436,FR,scr2,electricity,dem,45.3565242388978
h4437,FR,scr2,electricity,dem,48.0451635831601
h4438,FR,scr2,electricity,dem,49.097212763488
h4439,FR,scr2,electricity,dem,45.0679914520126
h4440,FR,scr2,electricity,dem,41.8602045667666
h4441,FR,scr2,electricity,dem,39.4109717161454
h4442,FR,scr2,electricity,dem,37.1084143390962
h4443,FR,scr2,electricity,dem,36.3400864702437
h4444,FR,scr2,electricity,dem,37.2336274538503
h4445,FR,scr2,electricity,dem,39.225881552211
h4446,FR,scr2,electricity,dem,42.6777340112273
h4447,FR,scr2,electricity,dem,45.9538241751618
h4448,FR,scr2,electricity,dem,48.4047176177847
h4449,FR,scr2,electricity,dem,49.8179963063093
h4450,FR,scr2,electricity,dem,50.8657831915552
h4451,FR,scr2,electricity,dem,51.8635618800798
h4452,FR,scr2,electricity,dem,50.9107094210634
h4453,FR,scr2,electricity,dem,50.179619257129
h4454,FR,scr2,electricity,dem,48.9144963063093
h4455,FR,scr2,electricity,dem,47.6715126997519
h4456,FR,scr2,electricity,dem,46.9901274538503
h4457,FR,scr2,electricity,dem,47.5276766341781
h4458,FR,scr2,electricity,dem,47.6596438472929
