timestep_4,region_1,scenario_1,carrier_1,parameter,value
h6577,CH,scr1,electricity,dem,5.50790018807054
h6578,CH,scr1,electricity,dem,5.57193707331645
h6579,CH,scr1,electricity,dem,5.59327313889022
h6580,CH,scr1,electricity,dem,5.50780592577547
h6581,CH,scr1,electricity,dem,5.54144117167711
h6582,CH,scr1,electricity,dem,5.69623625364432
h6583,CH,scr1,electricity,dem,6.06283871266071
h6584,CH,scr1,electricity,dem,6.40891248315251
h6585,CH,scr1,electricity,dem,6.55112149954596
h6586,CH,scr1,electricity,dem,6.67307641757874
h6587,CH,scr1,electricity,dem,6.79219527003776
h6588,CH,scr1,electricity,dem,6.585478056923
h6589,CH,scr1,electricity,dem,6.55946986020169
h6590,CH,scr1,electricity,dem,6.53057231921809
h6591,CH,scr1,electricity,dem,6.43346576184104
h6592,CH,scr1,electricity,dem,6.35741658151317
h6593,CH,scr1,electricity,dem,6.28771576184104
h6594,CH,scr1,electricity,dem,6.35748625364432
h6595,CH,scr1,electricity,dem,6.34176084380826
h6596,CH,scr1,electricity,dem,6.12771166348038
h6597,CH,scr1,electricity,dem,5.87238379462792
h6598,CH,scr1,electricity,dem,5.70289199134924
h6599,CH,scr1,electricity,dem,5.49757641757874
h6600,CH,scr1,electricity,dem,5.44310510610334
h6601,CH,scr1,electricity,dem,5.31514878388054
h6602,CH,scr1,electricity,dem,5.37918566912645
h6603,CH,scr1,electricity,dem,5.40052173470022
h6604,CH,scr1,electricity,dem,5.31505452158547
h6605,CH,scr1,electricity,dem,5.34868976748711
h6606,CH,scr1,electricity,dem,5.50348484945432
h6607,CH,scr1,electricity,dem,5.87008730847071
h6608,CH,scr1,electricity,dem,6.21616107896251
h6609,CH,scr1,electricity,dem,6.35837009535596
h6610,CH,scr1,electricity,dem,6.48032501338874
h6611,CH,scr1,electricity,dem,6.59944386584776
h6612,CH,scr1,electricity,dem,6.392726652733
h6613,CH,scr1,electricity,dem,6.36671845601169
h6614,CH,scr1,electricity,dem,6.33782091502809
h6615,CH,scr1,electricity,dem,6.24071435765104
h6616,CH,scr1,electricity,dem,6.16466517732317
h6617,CH,scr1,electricity,dem,6.09496435765104
h6618,CH,scr1,electricity,dem,6.16473484945432
h6619,CH,scr1,electricity,dem,6.14900943961826
h6620,CH,scr1,electricity,dem,5.93496025929038
h6621,CH,scr1,electricity,dem,5.67963239043792
h6622,CH,scr1,electricity,dem,5.51014058715924
h6623,CH,scr1,electricity,dem,5.30482501338874
h6624,CH,scr1,electricity,dem,5.25035370191334
h6625,CH,scr1,electricity,dem,5.87347039843054
h6626,CH,scr1,electricity,dem,5.93750728367645
h6627,CH,scr1,electricity,dem,5.95884334925022
h6628,CH,scr1,electricity,dem,5.87337613613546
h6629,CH,scr1,electricity,dem,5.90701138203711
h6630,CH,scr1,electricity,dem,6.06180646400432
h6631,CH,scr1,electricity,dem,6.42840892302071
h6632,CH,scr1,electricity,dem,6.77448269351251
h6633,CH,scr1,electricity,dem,6.91669170990596
h6634,CH,scr1,electricity,dem,7.03864662793874
h6635,CH,scr1,electricity,dem,7.15776548039776
h6636,CH,scr1,electricity,dem,6.951048267283
h6637,CH,scr1,electricity,dem,6.92504007056169
h6638,CH,scr1,electricity,dem,6.89614252957809
h6639,CH,scr1,electricity,dem,6.79903597220104
h6640,CH,scr1,electricity,dem,6.72298679187317
h6641,CH,scr1,electricity,dem,6.65328597220104
h6642,CH,scr1,electricity,dem,6.72305646400432
h6643,CH,scr1,electricity,dem,6.70733105416826
h6644,CH,scr1,electricity,dem,6.49328187384038
h6645,CH,scr1,electricity,dem,6.23795400498792
h6646,CH,scr1,electricity,dem,6.06846220170924
h6647,CH,scr1,electricity,dem,5.86314662793874
h6648,CH,scr1,electricity,dem,5.80867531646334
h6649,CH,scr1,electricity,dem,5.88596129957054
h6650,CH,scr1,electricity,dem,5.94999818481645
h6651,CH,scr1,electricity,dem,5.97133425039022
h6652,CH,scr1,electricity,dem,5.88586703727547
h6653,CH,scr1,electricity,dem,5.91950228317711
h6654,CH,scr1,electricity,dem,6.07429736514432
h6655,CH,scr1,electricity,dem,6.44089982416071
h6656,CH,scr1,electricity,dem,6.78697359465251
h6657,CH,scr1,electricity,dem,6.92918261104596
h6658,CH,scr1,electricity,dem,7.05113752907874
h6659,CH,scr1,electricity,dem,7.17025638153776
h6660,CH,scr1,electricity,dem,6.963539168423
h6661,CH,scr1,electricity,dem,6.93753097170169
h6662,CH,scr1,electricity,dem,6.90863343071809
h6663,CH,scr1,electricity,dem,6.81152687334104
h6664,CH,scr1,electricity,dem,6.73547769301317
h6665,CH,scr1,electricity,dem,6.66577687334104
h6666,CH,scr1,electricity,dem,6.73554736514432
h6667,CH,scr1,electricity,dem,6.71982195530826
h6668,CH,scr1,electricity,dem,6.50577277498038
h6669,CH,scr1,electricity,dem,6.25044490612792
h6670,CH,scr1,electricity,dem,6.08095310284924
h6671,CH,scr1,electricity,dem,5.87563752907874
h6672,CH,scr1,electricity,dem,5.82116621760334
h6673,CH,scr1,electricity,dem,6.00867925980055
h6674,CH,scr1,electricity,dem,6.07271614504645
h6675,CH,scr1,electricity,dem,6.09405221062022
h6676,CH,scr1,electricity,dem,6.00858499750547
h6677,CH,scr1,electricity,dem,6.04222024340711
h6678,CH,scr1,electricity,dem,6.19701532537432
h6679,CH,scr1,electricity,dem,6.56361778439071
h6680,CH,scr1,electricity,dem,6.90969155488251
h6681,CH,scr1,electricity,dem,7.05190057127596
h6682,CH,scr1,electricity,dem,7.17385548930874
h6683,CH,scr1,electricity,dem,7.29297434176776
h6684,CH,scr1,electricity,dem,7.086257128653
h6685,CH,scr1,electricity,dem,7.06024893193169
h6686,CH,scr1,electricity,dem,7.03135139094809
h6687,CH,scr1,electricity,dem,6.93424483357104
h6688,CH,scr1,electricity,dem,6.85819565324317
h6689,CH,scr1,electricity,dem,6.78849483357104
h6690,CH,scr1,electricity,dem,6.85826532537432
h6691,CH,scr1,electricity,dem,6.84253991553826
h6692,CH,scr1,electricity,dem,6.62849073521038
h6693,CH,scr1,electricity,dem,6.37316286635792
h6694,CH,scr1,electricity,dem,6.20367106307924
h6695,CH,scr1,electricity,dem,5.99835548930874
h6696,CH,scr1,electricity,dem,5.94388417783334
h6697,CH,scr1,electricity,dem,6.13251174817054
h6698,CH,scr1,electricity,dem,6.19654863341645
h6699,CH,scr1,electricity,dem,6.21788469899022
h6700,CH,scr1,electricity,dem,6.13241748587547
h6701,CH,scr1,electricity,dem,6.16605273177711
h6702,CH,scr1,electricity,dem,6.32084781374432
h6703,CH,scr1,electricity,dem,6.68745027276071
h6704,CH,scr1,electricity,dem,7.03352404325251
h6705,CH,scr1,electricity,dem,7.17573305964596
h6706,CH,scr1,electricity,dem,7.29768797767874
h6707,CH,scr1,electricity,dem,7.41680683013776
h6708,CH,scr1,electricity,dem,7.210089617023
h6709,CH,scr1,electricity,dem,7.18408142030169
h6710,CH,scr1,electricity,dem,7.15518387931809
h6711,CH,scr1,electricity,dem,7.05807732194104
h6712,CH,scr1,electricity,dem,6.98202814161317
h6713,CH,scr1,electricity,dem,6.91232732194104
h6714,CH,scr1,electricity,dem,6.98209781374432
h6715,CH,scr1,electricity,dem,6.96637240390826
h6716,CH,scr1,electricity,dem,6.75232322358038
h6717,CH,scr1,electricity,dem,6.49699535472792
h6718,CH,scr1,electricity,dem,6.32750355144924
h6719,CH,scr1,electricity,dem,6.12218797767874
h6720,CH,scr1,electricity,dem,6.06771666620334
h6721,CH,scr1,electricity,dem,5.92468042222054
h6722,CH,scr1,electricity,dem,5.98871730746645
h6723,CH,scr1,electricity,dem,6.01005337304022
h6724,CH,scr1,electricity,dem,5.92458615992547
h6725,CH,scr1,electricity,dem,5.95822140582711
h6726,CH,scr1,electricity,dem,6.11301648779432
h6727,CH,scr1,electricity,dem,6.47961894681071
h6728,CH,scr1,electricity,dem,6.82569271730251
h6729,CH,scr1,electricity,dem,6.96790173369596
h6730,CH,scr1,electricity,dem,7.08985665172874
h6731,CH,scr1,electricity,dem,7.20897550418776
h6732,CH,scr1,electricity,dem,7.002258291073
h6733,CH,scr1,electricity,dem,6.97625009435169
h6734,CH,scr1,electricity,dem,6.94735255336809
h6735,CH,scr1,electricity,dem,6.85024599599104
h6736,CH,scr1,electricity,dem,6.77419681566317
h6737,CH,scr1,electricity,dem,6.70449599599104
h6738,CH,scr1,electricity,dem,6.77426648779432
h6739,CH,scr1,electricity,dem,6.75854107795826
h6740,CH,scr1,electricity,dem,6.54449189763038
h6741,CH,scr1,electricity,dem,6.28916402877792
h6742,CH,scr1,electricity,dem,6.11967222549924
h6743,CH,scr1,electricity,dem,5.91435665172874
h6744,CH,scr1,electricity,dem,5.85988534025334
h6745,CH,scr1,electricity,dem,5.46237304854054
h6746,CH,scr1,electricity,dem,5.52640993378645
h6747,CH,scr1,electricity,dem,5.54774599936022
h6748,CH,scr1,electricity,dem,5.46227878624547
h6749,CH,scr1,electricity,dem,5.49591403214711
h6750,CH,scr1,electricity,dem,5.65070911411432
h6751,CH,scr1,electricity,dem,6.01731157313071
h6752,CH,scr1,electricity,dem,6.36338534362251
h6753,CH,scr1,electricity,dem,6.50559436001596
h6754,CH,scr1,electricity,dem,6.62754927804874
h6755,CH,scr1,electricity,dem,6.74666813050776
h6756,CH,scr1,electricity,dem,6.539950917393
h6757,CH,scr1,electricity,dem,6.51394272067169
h6758,CH,scr1,electricity,dem,6.48504517968809
h6759,CH,scr1,electricity,dem,6.38793862231104
h6760,CH,scr1,electricity,dem,6.31188944198317
h6761,CH,scr1,electricity,dem,6.24218862231104
h6762,CH,scr1,electricity,dem,6.31195911411432
h6763,CH,scr1,electricity,dem,6.29623370427826
h6764,CH,scr1,electricity,dem,6.08218452395038
h6765,CH,scr1,electricity,dem,5.82685665509792
h6766,CH,scr1,electricity,dem,5.65736485181924
h6767,CH,scr1,electricity,dem,5.45204927804874
h6768,CH,scr1,electricity,dem,5.39757796657334
h6769,CH,scr1,electricity,dem,5.51579571552054
h6770,CH,scr1,electricity,dem,5.57983260076645
h6771,CH,scr1,electricity,dem,5.60116866634022
h6772,CH,scr1,electricity,dem,5.51570145322546
h6773,CH,scr1,electricity,dem,5.54933669912711
h6774,CH,scr1,electricity,dem,5.70413178109432
h6775,CH,scr1,electricity,dem,6.07073424011071
h6776,CH,scr1,electricity,dem,6.41680801060251
h6777,CH,scr1,electricity,dem,6.55901702699596
