timestep_4,region_1,scenario_1,technology_1,parameter,value
h6577,CH,scr3,solar,avaConv,0.0
h6578,CH,scr3,solar,avaConv,0.0
h6579,CH,scr3,solar,avaConv,0.0
h6580,CH,scr3,solar,avaConv,0.0
h6581,CH,scr3,solar,avaConv,0.0
h6582,CH,scr3,solar,avaConv,0.00155258363570825
h6583,CH,scr3,solar,avaConv,0.0544747910564663
h6584,CH,scr3,solar,avaConv,0.145384531831838
h6585,CH,scr3,solar,avaConv,0.236167905884943
h6586,CH,scr3,solar,avaConv,0.324972846971654
h6587,CH,scr3,solar,avaConv,0.398720606498726
h6588,CH,scr3,solar,avaConv,0.417575889268579
h6589,CH,scr3,solar,avaConv,0.381841941221947
h6590,CH,scr3,solar,avaConv,0.320069252605657
h6591,CH,scr3,solar,avaConv,0.226348821864705
h6592,CH,scr3,solar,avaConv,0.12051514234454
h6593,CH,scr3,solar,avaConv,0.0347483192227114
h6594,CH,scr3,solar,avaConv,0.000290735154489153
h6595,CH,scr3,solar,avaConv,0.0
h6596,CH,scr3,solar,avaConv,0.0
h6597,CH,scr3,solar,avaConv,0.0
h6598,CH,scr3,solar,avaConv,0.0
h6599,CH,scr3,solar,avaConv,0.0
h6600,CH,scr3,solar,avaConv,0.0
h6601,CH,scr3,solar,avaConv,0.0
h6602,CH,scr3,solar,avaConv,0.0
h6603,CH,scr3,solar,avaConv,0.0
h6604,CH,scr3,solar,avaConv,0.0
h6605,CH,scr3,solar,avaConv,0.0
h6606,CH,scr3,solar,avaConv,0.000784936232909412
h6607,CH,scr3,solar,avaConv,0.0417092337431407
h6608,CH,scr3,solar,avaConv,0.113121802260006
h6609,CH,scr3,solar,avaConv,0.203232457214238
h6610,CH,scr3,solar,avaConv,0.281847725192097
h6611,CH,scr3,solar,avaConv,0.336969731421231
h6612,CH,scr3,solar,avaConv,0.37041595843171
h6613,CH,scr3,solar,avaConv,0.327601724431187
h6614,CH,scr3,solar,avaConv,0.235954749824805
h6615,CH,scr3,solar,avaConv,0.163815303898244
h6616,CH,scr3,solar,avaConv,0.102297660288757
h6617,CH,scr3,solar,avaConv,0.0307060032345522
h6618,CH,scr3,solar,avaConv,0.000166621991484576
h6619,CH,scr3,solar,avaConv,0.0
h6620,CH,scr3,solar,avaConv,0.0
h6621,CH,scr3,solar,avaConv,0.0
h6622,CH,scr3,solar,avaConv,0.0
h6623,CH,scr3,solar,avaConv,0.0
h6624,CH,scr3,solar,avaConv,0.0
h6625,CH,scr3,solar,avaConv,0.0
h6626,CH,scr3,solar,avaConv,0.0
h6627,CH,scr3,solar,avaConv,0.0
h6628,CH,scr3,solar,avaConv,0.0
h6629,CH,scr3,solar,avaConv,0.0
