timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2331,CH,scr1,electricity,dem,6.79881746799777
h2332,CH,scr1,electricity,dem,6.72639988558019
h2333,CH,scr1,electricity,dem,6.78837241305271
h2334,CH,scr1,electricity,dem,6.97164164382194
h2335,CH,scr1,electricity,dem,7.32682845700875
h2336,CH,scr1,electricity,dem,7.63344933612964
h2337,CH,scr1,electricity,dem,7.79893285261315
h2338,CH,scr1,electricity,dem,7.91050428118458
h2339,CH,scr1,electricity,dem,8.0320812042615
h2340,CH,scr1,electricity,dem,7.8593834020637
h2341,CH,scr1,electricity,dem,7.79124054492084
h2342,CH,scr1,electricity,dem,7.72746581964612
h2343,CH,scr1,electricity,dem,7.62447131415161
h2344,CH,scr1,electricity,dem,7.53734494052524
h2345,CH,scr1,electricity,dem,7.44311966579997
h2346,CH,scr1,electricity,dem,7.36742735810766
h2347,CH,scr1,electricity,dem,7.36081197349227
h2348,CH,scr1,electricity,dem,7.36773505041535
h2349,CH,scr1,electricity,dem,7.21904823722853
h2350,CH,scr1,electricity,dem,7.03482845700875
h2351,CH,scr1,electricity,dem,6.7913834020637
h2352,CH,scr1,electricity,dem,6.71116911634942
h2353,CH,scr1,electricity,dem,6.67649575738964
h2354,CH,scr1,electricity,dem,6.717633120027
h2355,CH,scr1,electricity,dem,6.75986388925777
h2356,CH,scr1,electricity,dem,6.68744630684019
h2357,CH,scr1,electricity,dem,6.74941883431271
h2358,CH,scr1,electricity,dem,6.93268806508194
h2359,CH,scr1,electricity,dem,7.28787487826875
h2360,CH,scr1,electricity,dem,7.59449575738964
h2361,CH,scr1,electricity,dem,7.75997927387315
h2362,CH,scr1,electricity,dem,7.87155070244458
h2363,CH,scr1,electricity,dem,7.9931276255215
h2364,CH,scr1,electricity,dem,7.8204298233237
h2365,CH,scr1,electricity,dem,7.75228696618084
h2366,CH,scr1,electricity,dem,7.68851224090612
h2367,CH,scr1,electricity,dem,7.58551773541161
h2368,CH,scr1,electricity,dem,7.49839136178523
h2369,CH,scr1,electricity,dem,7.40416608705997
h2370,CH,scr1,electricity,dem,7.32847377936766
h2371,CH,scr1,electricity,dem,7.32185839475227
h2372,CH,scr1,electricity,dem,7.32878147167535
h2373,CH,scr1,electricity,dem,7.18009465848853
h2374,CH,scr1,electricity,dem,6.99587487826875
h2375,CH,scr1,electricity,dem,6.7524298233237
h2376,CH,scr1,electricity,dem,6.67221553760942
h2377,CH,scr1,electricity,dem,6.71696902019964
h2378,CH,scr1,electricity,dem,6.758106382837
h2379,CH,scr1,electricity,dem,6.80033715206777
h2380,CH,scr1,electricity,dem,6.72791956965019
h2381,CH,scr1,electricity,dem,6.78989209712271
h2382,CH,scr1,electricity,dem,6.97316132789194
h2383,CH,scr1,electricity,dem,7.32834814107875
h2384,CH,scr1,electricity,dem,7.63496902019964
h2385,CH,scr1,electricity,dem,7.80045253668315
h2386,CH,scr1,electricity,dem,7.91202396525458
h2387,CH,scr1,electricity,dem,8.0336008883315
h2388,CH,scr1,electricity,dem,7.8609030861337
h2389,CH,scr1,electricity,dem,7.79276022899084
h2390,CH,scr1,electricity,dem,7.72898550371612
h2391,CH,scr1,electricity,dem,7.62599099822161
h2392,CH,scr1,electricity,dem,7.53886462459523
h2393,CH,scr1,electricity,dem,7.44463934986997
h2394,CH,scr1,electricity,dem,7.36894704217766
h2395,CH,scr1,electricity,dem,7.36233165756227
h2396,CH,scr1,electricity,dem,7.36925473448535
h2397,CH,scr1,electricity,dem,7.22056792129853
h2398,CH,scr1,electricity,dem,7.03634814107875
h2399,CH,scr1,electricity,dem,6.7929030861337
h2400,CH,scr1,electricity,dem,6.71268880041942
h2401,CH,scr1,electricity,dem,6.22494777562964
h2402,CH,scr1,electricity,dem,6.266085138267
h2403,CH,scr1,electricity,dem,6.30831590749777
h2404,CH,scr1,electricity,dem,6.23589832508019
h2405,CH,scr1,electricity,dem,6.29787085255271
h2406,CH,scr1,electricity,dem,6.48114008332194
h2407,CH,scr1,electricity,dem,6.83632689650875
h2408,CH,scr1,electricity,dem,7.14294777562964
h2409,CH,scr1,electricity,dem,7.30843129211315
h2410,CH,scr1,electricity,dem,7.42000272068458
h2411,CH,scr1,electricity,dem,7.5415796437615
h2412,CH,scr1,electricity,dem,7.3688818415637
h2413,CH,scr1,electricity,dem,7.30073898442084
h2414,CH,scr1,electricity,dem,7.23696425914612
h2415,CH,scr1,electricity,dem,7.13396975365161
h2416,CH,scr1,electricity,dem,7.04684338002523
h2417,CH,scr1,electricity,dem,6.95261810529997
h2418,CH,scr1,electricity,dem,6.87692579760766
h2419,CH,scr1,electricity,dem,6.87031041299227
h2420,CH,scr1,electricity,dem,6.87723348991535
h2421,CH,scr1,electricity,dem,6.72854667672853
h2422,CH,scr1,electricity,dem,6.54432689650875
h2423,CH,scr1,electricity,dem,6.3008818415637
h2424,CH,scr1,electricity,dem,6.22066755584942
h2425,CH,scr1,electricity,dem,6.25262659084964
h2426,CH,scr1,electricity,dem,6.293763953487
h2427,CH,scr1,electricity,dem,6.33599472271777
