timestep_4,region_1,scenario_1,carrier_1,parameter,value
h4393,BE,scr3,electricity,dem,8.16489141073453
h4394,BE,scr3,electricity,dem,8.06358608286568
h4395,BE,scr3,electricity,dem,8.07508813204601
h4396,BE,scr3,electricity,dem,8.18842624680011
h4397,BE,scr3,electricity,dem,8.66958198450502
h4398,BE,scr3,electricity,dem,9.410594279587
h4399,BE,scr3,electricity,dem,9.99457583696404
h4400,BE,scr3,electricity,dem,10.3788934599149
h4401,BE,scr3,electricity,dem,10.5690328041772
h4402,BE,scr3,electricity,dem,10.7651188697509
h4403,BE,scr3,electricity,dem,10.6570983779476
h4404,BE,scr3,electricity,dem,10.5306905910624
h4405,BE,scr3,electricity,dem,10.3820840336854
h4406,BE,scr3,electricity,dem,10.284713132046
h4407,BE,scr3,electricity,dem,10.2171598533575
h4408,BE,scr3,electricity,dem,10.2645061648329
h4409,BE,scr3,electricity,dem,10.2045389517181
h4410,BE,scr3,electricity,dem,9.95722542712798
h4411,BE,scr3,electricity,dem,9.67689960745585
h4412,BE,scr3,electricity,dem,9.44659223040667
h4413,BE,scr3,electricity,dem,9.65567829598044
h4414,BE,scr3,electricity,dem,9.34020698450503
h4415,BE,scr3,electricity,dem,8.76506149270175
h4416,BE,scr3,electricity,dem,8.40971927958699
h4417,BE,scr3,electricity,dem,8.03077682115453
h4418,BE,scr3,electricity,dem,7.92947149328568
h4419,BE,scr3,electricity,dem,7.94097354246601
h4420,BE,scr3,electricity,dem,8.05431165722011
h4421,BE,scr3,electricity,dem,8.53546739492503
h4422,BE,scr3,electricity,dem,9.276479690007
h4423,BE,scr3,electricity,dem,9.86046124738404
h4424,BE,scr3,electricity,dem,10.2447788703349
h4425,BE,scr3,electricity,dem,10.4349182145972
h4426,BE,scr3,electricity,dem,10.6310042801709
h4427,BE,scr3,electricity,dem,10.5229837883677
h4428,BE,scr3,electricity,dem,10.3965760014824
h4429,BE,scr3,electricity,dem,10.2479694441054
h4430,BE,scr3,electricity,dem,10.150598542466
h4431,BE,scr3,electricity,dem,10.0830452637775
h4432,BE,scr3,electricity,dem,10.1303915752529
h4433,BE,scr3,electricity,dem,10.0704243621381
h4434,BE,scr3,electricity,dem,9.82311083754798
h4435,BE,scr3,electricity,dem,9.54278501787585
h4436,BE,scr3,electricity,dem,9.31247764082667
h4437,BE,scr3,electricity,dem,9.52156370640044
h4438,BE,scr3,electricity,dem,9.20609239492503
h4439,BE,scr3,electricity,dem,8.63094690312175
h4440,BE,scr3,electricity,dem,8.27560469000699
h4441,BE,scr3,electricity,dem,7.06988732433453
h4442,BE,scr3,electricity,dem,6.96858199646568
h4443,BE,scr3,electricity,dem,6.98008404564601
h4444,BE,scr3,electricity,dem,7.09342216040011
h4445,BE,scr3,electricity,dem,7.57457789810503
h4446,BE,scr3,electricity,dem,8.315590193187
h4447,BE,scr3,electricity,dem,8.89957175056405
h4448,BE,scr3,electricity,dem,9.28388937351486
h4449,BE,scr3,electricity,dem,9.47402871777716
h4450,BE,scr3,electricity,dem,9.67011478335093
h4451,BE,scr3,electricity,dem,9.56209429154765
h4452,BE,scr3,electricity,dem,9.43568650466241
h4453,BE,scr3,electricity,dem,9.28707994728535
h4454,BE,scr3,electricity,dem,9.18970904564601
h4455,BE,scr3,electricity,dem,9.12215576695749
h4456,BE,scr3,electricity,dem,9.1695020784329
h4457,BE,scr3,electricity,dem,9.10953486531814
h4458,BE,scr3,electricity,dem,8.86222134072798
h4459,BE,scr3,electricity,dem,8.58189552105585
h4460,BE,scr3,electricity,dem,8.35158814400667
h4461,BE,scr3,electricity,dem,8.56067420958044
h4462,BE,scr3,electricity,dem,8.24520289810503
h4463,BE,scr3,electricity,dem,7.67005740630175
h4464,BE,scr3,electricity,dem,7.31471519318699
h4465,BE,scr3,electricity,dem,6.65138950481453
h4466,BE,scr3,electricity,dem,6.55008417694568
h4467,BE,scr3,electricity,dem,6.56158622612601
h4468,BE,scr3,electricity,dem,6.67492434088011
h4469,BE,scr3,electricity,dem,7.15608007858502
h4470,BE,scr3,electricity,dem,7.897092373667
h4471,BE,scr3,electricity,dem,8.48107393104404
h4472,BE,scr3,electricity,dem,8.86539155399486
h4473,BE,scr3,electricity,dem,9.05553089825716
h4474,BE,scr3,electricity,dem,9.25161696383092
h4475,BE,scr3,electricity,dem,9.14359647202765
h4476,BE,scr3,electricity,dem,9.01718868514241
h4477,BE,scr3,electricity,dem,8.86858212776535
h4478,BE,scr3,electricity,dem,8.77121122612601
h4479,BE,scr3,electricity,dem,8.70365794743749
h4480,BE,scr3,electricity,dem,8.7510042589129
h4481,BE,scr3,electricity,dem,8.69103704579814
h4482,BE,scr3,electricity,dem,8.44372352120798
h4483,BE,scr3,electricity,dem,8.16339770153585
h4484,BE,scr3,electricity,dem,7.93309032448667
h4485,BE,scr3,electricity,dem,8.14217639006044
h4486,BE,scr3,electricity,dem,7.82670507858503
h4487,BE,scr3,electricity,dem,7.25155958678175
h4488,BE,scr3,electricity,dem,6.89621737366699
h4489,BE,scr3,electricity,dem,8.01501614841453
h4490,BE,scr3,electricity,dem,7.91371082054568
h4491,BE,scr3,electricity,dem,7.92521286972601
h4492,BE,scr3,electricity,dem,8.03855098448011
h4493,BE,scr3,electricity,dem,8.51970672218502
h4494,BE,scr3,electricity,dem,9.260719017267
h4495,BE,scr3,electricity,dem,9.84470057464404
h4496,BE,scr3,electricity,dem,10.2290181975949
h4497,BE,scr3,electricity,dem,10.4191575418572
h4498,BE,scr3,electricity,dem,10.6152436074309
h4499,BE,scr3,electricity,dem,10.5072231156276
h4500,BE,scr3,electricity,dem,10.3808153287424
h4501,BE,scr3,electricity,dem,10.2322087713654
h4502,BE,scr3,electricity,dem,10.134837869726
h4503,BE,scr3,electricity,dem,10.0672845910375
h4504,BE,scr3,electricity,dem,10.1146309025129
h4505,BE,scr3,electricity,dem,10.0546636893981
h4506,BE,scr3,electricity,dem,9.80735016480798
h4507,BE,scr3,electricity,dem,9.52702434513585
h4508,BE,scr3,electricity,dem,9.29671696808667
h4509,BE,scr3,electricity,dem,9.50580303366044
h4510,BE,scr3,electricity,dem,9.19033172218503
h4511,BE,scr3,electricity,dem,8.61518623038175
h4512,BE,scr3,electricity,dem,8.25984401726699
h4513,BE,scr3,electricity,dem,8.25647135558453
h4514,BE,scr3,electricity,dem,8.15516602771568
h4515,BE,scr3,electricity,dem,8.16666807689601
h4516,BE,scr3,electricity,dem,8.28000619165011
h4517,BE,scr3,electricity,dem,8.76116192935502
h4518,BE,scr3,electricity,dem,9.502174224437
h4519,BE,scr3,electricity,dem,10.086155781814
h4520,BE,scr3,electricity,dem,10.4704734047649
h4521,BE,scr3,electricity,dem,10.6606127490272
h4522,BE,scr3,electricity,dem,10.8566988146009
h4523,BE,scr3,electricity,dem,10.7486783227976
h4524,BE,scr3,electricity,dem,10.6222705359124
h4525,BE,scr3,electricity,dem,10.4736639785354
h4526,BE,scr3,electricity,dem,10.376293076896
h4527,BE,scr3,electricity,dem,10.3087397982075
h4528,BE,scr3,electricity,dem,10.3560861096829
h4529,BE,scr3,electricity,dem,10.2961188965681
h4530,BE,scr3,electricity,dem,10.048805371978
h4531,BE,scr3,electricity,dem,9.76847955230585
h4532,BE,scr3,electricity,dem,9.53817217525667
h4533,BE,scr3,electricity,dem,9.74725824083044
h4534,BE,scr3,electricity,dem,9.43178692935503
h4535,BE,scr3,electricity,dem,8.85664143755175
h4536,BE,scr3,electricity,dem,8.50129922443699
h4537,BE,scr3,electricity,dem,8.26630872652453
h4538,BE,scr3,electricity,dem,8.16500339865568
h4539,BE,scr3,electricity,dem,8.17650544783601
h4540,BE,scr3,electricity,dem,8.28984356259011
h4541,BE,scr3,electricity,dem,8.77099930029502
h4542,BE,scr3,electricity,dem,9.512011595377
h4543,BE,scr3,electricity,dem,10.095993152754
h4544,BE,scr3,electricity,dem,10.4803107757049
h4545,BE,scr3,electricity,dem,10.6704501199672
h4546,BE,scr3,electricity,dem,10.8665361855409
h4547,BE,scr3,electricity,dem,10.7585156937376
h4548,BE,scr3,electricity,dem,10.6321079068524
h4549,BE,scr3,electricity,dem,10.4835013494754
h4550,BE,scr3,electricity,dem,10.386130447836
h4551,BE,scr3,electricity,dem,10.3185771691475
h4552,BE,scr3,electricity,dem,10.3659234806229
h4553,BE,scr3,electricity,dem,10.3059562675081
h4554,BE,scr3,electricity,dem,10.058642742918
h4555,BE,scr3,electricity,dem,9.77831692324585
h4556,BE,scr3,electricity,dem,9.54800954619667
h4557,BE,scr3,electricity,dem,9.75709561177044
h4558,BE,scr3,electricity,dem,9.44162430029503
h4559,BE,scr3,electricity,dem,8.86647880849175
h4560,BE,scr3,electricity,dem,8.51113659537699
h4561,BE,scr3,electricity,dem,8.16489141073453
h4562,BE,scr3,electricity,dem,8.06358608286568
h4563,BE,scr3,electricity,dem,8.07508813204601
h4564,BE,scr3,electricity,dem,8.18842624680011
h4565,BE,scr3,electricity,dem,8.66958198450502
h4566,BE,scr3,electricity,dem,9.410594279587
h4567,BE,scr3,electricity,dem,9.99457583696404
h4568,BE,scr3,electricity,dem,10.3788934599149
h4569,BE,scr3,electricity,dem,10.5690328041772
h4570,BE,scr3,electricity,dem,10.7651188697509
h4571,BE,scr3,electricity,dem,10.6570983779476
h4572,BE,scr3,electricity,dem,10.5306905910624
h4573,BE,scr3,electricity,dem,10.3820840336854
h4574,BE,scr3,electricity,dem,10.284713132046
h4575,BE,scr3,electricity,dem,10.2171598533575
h4576,BE,scr3,electricity,dem,10.2645061648329
h4577,BE,scr3,electricity,dem,10.2045389517181
h4578,BE,scr3,electricity,dem,9.95722542712798
h4579,BE,scr3,electricity,dem,9.67689960745585
h4580,BE,scr3,electricity,dem,9.44659223040667
h4581,BE,scr3,electricity,dem,9.65567829598044
h4582,BE,scr3,electricity,dem,9.34020698450503
h4583,BE,scr3,electricity,dem,8.76506149270175
h4584,BE,scr3,electricity,dem,8.40971927958699
h4585,BE,scr3,electricity,dem,8.03077682115453
h4586,BE,scr3,electricity,dem,7.92947149328568
h4587,BE,scr3,electricity,dem,7.94097354246601
h4588,BE,scr3,electricity,dem,8.05431165722011
h4589,BE,scr3,electricity,dem,8.53546739492503
h4590,BE,scr3,electricity,dem,9.276479690007
h4591,BE,scr3,electricity,dem,9.86046124738404
h4592,BE,scr3,electricity,dem,10.2447788703349
h4593,BE,scr3,electricity,dem,10.4349182145972
h4594,BE,scr3,electricity,dem,10.6310042801709
h4595,BE,scr3,electricity,dem,10.5229837883677
h4596,BE,scr3,electricity,dem,10.3965760014824
h4597,BE,scr3,electricity,dem,10.2479694441054
h4598,BE,scr3,electricity,dem,10.150598542466
h4599,BE,scr3,electricity,dem,10.0830452637775
h4600,BE,scr3,electricity,dem,10.1303915752529
h4601,BE,scr3,electricity,dem,10.0704243621381
h4602,BE,scr3,electricity,dem,9.82311083754798
h4603,BE,scr3,electricity,dem,9.54278501787585
h4604,BE,scr3,electricity,dem,9.31247764082667
h4605,BE,scr3,electricity,dem,9.52156370640044
h4606,BE,scr3,electricity,dem,9.20609239492503
h4607,BE,scr3,electricity,dem,8.63094690312175
h4608,BE,scr3,electricity,dem,8.27560469000699
h4609,BE,scr3,electricity,dem,7.15217483134453
h4610,BE,scr3,electricity,dem,7.05086950347568
h4611,BE,scr3,electricity,dem,7.06237155265601
h4612,BE,scr3,electricity,dem,7.17570966741011
h4613,BE,scr3,electricity,dem,7.65686540511502
h4614,BE,scr3,electricity,dem,8.397877700197
h4615,BE,scr3,electricity,dem,8.98185925757404
h4616,BE,scr3,electricity,dem,9.36617688052486
h4617,BE,scr3,electricity,dem,9.55631622478716
h4618,BE,scr3,electricity,dem,9.75240229036092
h4619,BE,scr3,electricity,dem,9.64438179855765
h4620,BE,scr3,electricity,dem,9.51797401167241
h4621,BE,scr3,electricity,dem,9.36936745429535
h4622,BE,scr3,electricity,dem,9.27199655265601
h4623,BE,scr3,electricity,dem,9.20444327396748
h4624,BE,scr3,electricity,dem,9.2517895854429
h4625,BE,scr3,electricity,dem,9.19182237232813
h4626,BE,scr3,electricity,dem,8.94450884773798
h4627,BE,scr3,electricity,dem,8.66418302806585
h4628,BE,scr3,electricity,dem,8.43387565101667
h4629,BE,scr3,electricity,dem,8.64296171659044
h4630,BE,scr3,electricity,dem,8.32749040511503
h4631,BE,scr3,electricity,dem,7.75234491331175
h4632,BE,scr3,electricity,dem,7.39700270019699
h4633,BE,scr3,electricity,dem,6.83544325944454
h4634,BE,scr3,electricity,dem,6.73413793157568
h4635,BE,scr3,electricity,dem,6.74563998075601
h4636,BE,scr3,electricity,dem,6.85897809551011
h4637,BE,scr3,electricity,dem,7.34013383321503
h4638,BE,scr3,electricity,dem,8.081146128297
h4639,BE,scr3,electricity,dem,8.66512768567405
h4640,BE,scr3,electricity,dem,9.04944530862486
h4641,BE,scr3,electricity,dem,9.23958465288716
h4642,BE,scr3,electricity,dem,9.43567071846093
h4643,BE,scr3,electricity,dem,9.32765022665765
h4644,BE,scr3,electricity,dem,9.20124243977241
h4645,BE,scr3,electricity,dem,9.05263588239536
h4646,BE,scr3,electricity,dem,8.95526498075601
h4647,BE,scr3,electricity,dem,8.88771170206749
h4648,BE,scr3,electricity,dem,8.9350580135429
h4649,BE,scr3,electricity,dem,8.87509080042814
h4650,BE,scr3,electricity,dem,8.62777727583798
h4651,BE,scr3,electricity,dem,8.34745145616585
h4652,BE,scr3,electricity,dem,8.11714407911667
h4653,BE,scr3,electricity,dem,8.32623014469044
h4654,BE,scr3,electricity,dem,8.01075883321503
h4655,BE,scr3,electricity,dem,7.43561334141175
h4656,BE,scr3,electricity,dem,7.08027112829699
h4657,BE,scr3,electricity,dem,7.93264451294454
h4658,BE,scr3,electricity,dem,7.83133918507568
h4659,BE,scr3,electricity,dem,7.84284123425601
h4660,BE,scr3,electricity,dem,7.95617934901011
h4661,BE,scr3,electricity,dem,8.43733508671503
h4662,BE,scr3,electricity,dem,9.178347381797
h4663,BE,scr3,electricity,dem,9.76232893917405
h4664,BE,scr3,electricity,dem,10.1466465621249
h4665,BE,scr3,electricity,dem,10.3367859063872
h4666,BE,scr3,electricity,dem,10.5328719719609
h4667,BE,scr3,electricity,dem,10.4248514801577
h4668,BE,scr3,electricity,dem,10.2984436932724
h4669,BE,scr3,electricity,dem,10.1498371358954
h4670,BE,scr3,electricity,dem,10.052466234256
h4671,BE,scr3,electricity,dem,9.98491295556749
h4672,BE,scr3,electricity,dem,10.0322592670429
h4673,BE,scr3,electricity,dem,9.97229205392814
h4674,BE,scr3,electricity,dem,9.72497852933798
h4675,BE,scr3,electricity,dem,9.44465270966585
h4676,BE,scr3,electricity,dem,9.21434533261667
h4677,BE,scr3,electricity,dem,9.42343139819044
h4678,BE,scr3,electricity,dem,9.10796008671503
h4679,BE,scr3,electricity,dem,8.53281459491175
h4680,BE,scr3,electricity,dem,8.17747238179699
h4681,BE,scr3,electricity,dem,8.16489141073453
h4682,BE,scr3,electricity,dem,8.06358608286568
h4683,BE,scr3,electricity,dem,8.07508813204601
h4684,BE,scr3,electricity,dem,8.18842624680011
h4685,BE,scr3,electricity,dem,8.66958198450502
h4686,BE,scr3,electricity,dem,9.410594279587
h4687,BE,scr3,electricity,dem,9.99457583696404
h4688,BE,scr3,electricity,dem,10.3788934599149
h4689,BE,scr3,electricity,dem,10.5690328041772
h4690,BE,scr3,electricity,dem,10.7651188697509
h4691,BE,scr3,electricity,dem,10.6570983779476
h4692,BE,scr3,electricity,dem,10.5306905910624
h4693,BE,scr3,electricity,dem,10.3820840336854
h4694,BE,scr3,electricity,dem,10.284713132046
h4695,BE,scr3,electricity,dem,10.2171598533575
h4696,BE,scr3,electricity,dem,10.2645061648329
h4697,BE,scr3,electricity,dem,10.2045389517181
h4698,BE,scr3,electricity,dem,9.95722542712798
h4699,BE,scr3,electricity,dem,9.67689960745585
h4700,BE,scr3,electricity,dem,9.44659223040667
h4701,BE,scr3,electricity,dem,9.65567829598044
h4702,BE,scr3,electricity,dem,9.34020698450503
h4703,BE,scr3,electricity,dem,8.76506149270175
h4704,BE,scr3,electricity,dem,8.40971927958699
h4705,BE,scr3,electricity,dem,8.16489141073453
h4706,BE,scr3,electricity,dem,8.06358608286568
h4707,BE,scr3,electricity,dem,8.07508813204601
h4708,BE,scr3,electricity,dem,8.18842624680011
h4709,BE,scr3,electricity,dem,8.66958198450502
h4710,BE,scr3,electricity,dem,9.410594279587
h4711,BE,scr3,electricity,dem,9.99457583696404
h4712,BE,scr3,electricity,dem,10.3788934599149
h4713,BE,scr3,electricity,dem,10.5690328041772
h4714,BE,scr3,electricity,dem,10.7651188697509
h4715,BE,scr3,electricity,dem,10.6570983779476
h4716,BE,scr3,electricity,dem,10.5306905910624
h4717,BE,scr3,electricity,dem,10.3820840336854
h4718,BE,scr3,electricity,dem,10.284713132046
h4719,BE,scr3,electricity,dem,10.2171598533575
h4720,BE,scr3,electricity,dem,10.2645061648329
h4721,BE,scr3,electricity,dem,10.2045389517181
h4722,BE,scr3,electricity,dem,9.95722542712798
h4723,BE,scr3,electricity,dem,9.67689960745585
h4724,BE,scr3,electricity,dem,9.44659223040667
h4725,BE,scr3,electricity,dem,9.65567829598044
h4726,BE,scr3,electricity,dem,9.34020698450503
h4727,BE,scr3,electricity,dem,8.76506149270175
h4728,BE,scr3,electricity,dem,8.40971927958699
h4729,BE,scr3,electricity,dem,8.17536226312453
h4730,BE,scr3,electricity,dem,8.07405693525568
h4731,BE,scr3,electricity,dem,8.08555898443601
h4732,BE,scr3,electricity,dem,8.19889709919011
h4733,BE,scr3,electricity,dem,8.68005283689502
h4734,BE,scr3,electricity,dem,9.421065131977
h4735,BE,scr3,electricity,dem,10.005046689354
h4736,BE,scr3,electricity,dem,10.3893643123049
h4737,BE,scr3,electricity,dem,10.5795036565672
h4738,BE,scr3,electricity,dem,10.7755897221409
h4739,BE,scr3,electricity,dem,10.6675692303377
h4740,BE,scr3,electricity,dem,10.5411614434524
h4741,BE,scr3,electricity,dem,10.3925548860754
h4742,BE,scr3,electricity,dem,10.295183984436
h4743,BE,scr3,electricity,dem,10.2276307057475
h4744,BE,scr3,electricity,dem,10.2749770172229
h4745,BE,scr3,electricity,dem,10.2150098041081
h4746,BE,scr3,electricity,dem,9.96769627951798
h4747,BE,scr3,electricity,dem,9.68737045984585
h4748,BE,scr3,electricity,dem,9.45706308279667
h4749,BE,scr3,electricity,dem,9.66614914837044
h4750,BE,scr3,electricity,dem,9.35067783689503
h4751,BE,scr3,electricity,dem,8.77553234509175
h4752,BE,scr3,electricity,dem,8.42019013197699
h4753,BE,scr3,electricity,dem,8.03077682115453
h4754,BE,scr3,electricity,dem,7.92947149328568
h4755,BE,scr3,electricity,dem,7.94097354246601
h4756,BE,scr3,electricity,dem,8.05431165722011
h4757,BE,scr3,electricity,dem,8.53546739492503
h4758,BE,scr3,electricity,dem,9.276479690007
h4759,BE,scr3,electricity,dem,9.86046124738404
h4760,BE,scr3,electricity,dem,10.2447788703349
h4761,BE,scr3,electricity,dem,10.4349182145972
h4762,BE,scr3,electricity,dem,10.6310042801709
h4763,BE,scr3,electricity,dem,10.5229837883677
h4764,BE,scr3,electricity,dem,10.3965760014824
h4765,BE,scr3,electricity,dem,10.2479694441054
h4766,BE,scr3,electricity,dem,10.150598542466
h4767,BE,scr3,electricity,dem,10.0830452637775
h4768,BE,scr3,electricity,dem,10.1303915752529
h4769,BE,scr3,electricity,dem,10.0704243621381
h4770,BE,scr3,electricity,dem,9.82311083754798
h4771,BE,scr3,electricity,dem,9.54278501787585
h4772,BE,scr3,electricity,dem,9.31247764082667
h4773,BE,scr3,electricity,dem,9.52156370640044
h4774,BE,scr3,electricity,dem,9.20609239492503
h4775,BE,scr3,electricity,dem,8.63094690312175
h4776,BE,scr3,electricity,dem,8.27560469000699
h4777,BE,scr3,electricity,dem,7.06988732433453
h4778,BE,scr3,electricity,dem,6.96858199646568
h4779,BE,scr3,electricity,dem,6.98008404564601
h4780,BE,scr3,electricity,dem,7.09342216040011
h4781,BE,scr3,electricity,dem,7.57457789810503
h4782,BE,scr3,electricity,dem,8.315590193187
h4783,BE,scr3,electricity,dem,8.89957175056405
h4784,BE,scr3,electricity,dem,9.28388937351486
h4785,BE,scr3,electricity,dem,9.47402871777716
h4786,BE,scr3,electricity,dem,9.67011478335093
h4787,BE,scr3,electricity,dem,9.56209429154765
h4788,BE,scr3,electricity,dem,9.43568650466241
h4789,BE,scr3,electricity,dem,9.28707994728535
h4790,BE,scr3,electricity,dem,9.18970904564601
h4791,BE,scr3,electricity,dem,9.12215576695749
h4792,BE,scr3,electricity,dem,9.1695020784329
h4793,BE,scr3,electricity,dem,9.10953486531814
h4794,BE,scr3,electricity,dem,8.86222134072798
h4795,BE,scr3,electricity,dem,8.58189552105585
h4796,BE,scr3,electricity,dem,8.35158814400667
h4797,BE,scr3,electricity,dem,8.56067420958044
h4798,BE,scr3,electricity,dem,8.24520289810503
h4799,BE,scr3,electricity,dem,7.67005740630175
h4800,BE,scr3,electricity,dem,7.31471519318699
h4801,BE,scr3,electricity,dem,6.83171738025454
h4802,BE,scr3,electricity,dem,6.73041205238568
h4803,BE,scr3,electricity,dem,6.74191410156601
h4804,BE,scr3,electricity,dem,6.85525221632011
h4805,BE,scr3,electricity,dem,7.33640795402503
h4806,BE,scr3,electricity,dem,8.077420249107
h4807,BE,scr3,electricity,dem,8.66140180648405
h4808,BE,scr3,electricity,dem,9.04571942943486
h4809,BE,scr3,electricity,dem,9.23585877369716
h4810,BE,scr3,electricity,dem,9.43194483927093
h4811,BE,scr3,electricity,dem,9.32392434746765
h4812,BE,scr3,electricity,dem,9.19751656058241
h4813,BE,scr3,electricity,dem,9.04891000320536
h4814,BE,scr3,electricity,dem,8.95153910156601
h4815,BE,scr3,electricity,dem,8.88398582287749
h4816,BE,scr3,electricity,dem,8.9313321343529
h4817,BE,scr3,electricity,dem,8.87136492123814
h4818,BE,scr3,electricity,dem,8.62405139664798
h4819,BE,scr3,electricity,dem,8.34372557697585
h4820,BE,scr3,electricity,dem,8.11341819992667
h4821,BE,scr3,electricity,dem,8.32250426550044
h4822,BE,scr3,electricity,dem,8.00703295402503
h4823,BE,scr3,electricity,dem,7.43188746222175
h4824,BE,scr3,electricity,dem,7.07654524910699
h4825,BE,scr3,electricity,dem,8.29604229743453
h4826,BE,scr3,electricity,dem,8.19473696956568
h4827,BE,scr3,electricity,dem,8.20623901874601
h4828,BE,scr3,electricity,dem,8.31957713350011
h4829,BE,scr3,electricity,dem,8.80073287120503
h4830,BE,scr3,electricity,dem,9.541745166287
h4831,BE,scr3,electricity,dem,10.125726723664
h4832,BE,scr3,electricity,dem,10.5100443466149
h4833,BE,scr3,electricity,dem,10.7001836908772
h4834,BE,scr3,electricity,dem,10.8962697564509
h4835,BE,scr3,electricity,dem,10.7882492646476
h4836,BE,scr3,electricity,dem,10.6618414777624
h4837,BE,scr3,electricity,dem,10.5132349203854
h4838,BE,scr3,electricity,dem,10.415864018746
h4839,BE,scr3,electricity,dem,10.3483107400575
h4840,BE,scr3,electricity,dem,10.3956570515329
h4841,BE,scr3,electricity,dem,10.3356898384181
h4842,BE,scr3,electricity,dem,10.088376313828
h4843,BE,scr3,electricity,dem,9.80805049415585
h4844,BE,scr3,electricity,dem,9.57774311710667
h4845,BE,scr3,electricity,dem,9.78682918268044
h4846,BE,scr3,electricity,dem,9.47135787120503
h4847,BE,scr3,electricity,dem,8.89621237940175
h4848,BE,scr3,electricity,dem,8.54087016628699
h4849,BE,scr3,electricity,dem,8.18354688520453
h4850,BE,scr3,electricity,dem,8.08224155733568
h4851,BE,scr3,electricity,dem,8.09374360651601
h4852,BE,scr3,electricity,dem,8.20708172127011
h4853,BE,scr3,electricity,dem,8.68823745897502
h4854,BE,scr3,electricity,dem,9.429249754057
h4855,BE,scr3,electricity,dem,10.013231311434
h4856,BE,scr3,electricity,dem,10.3975489343849
h4857,BE,scr3,electricity,dem,10.5876882786472
h4858,BE,scr3,electricity,dem,10.7837743442209
h4859,BE,scr3,electricity,dem,10.6757538524176
h4860,BE,scr3,electricity,dem,10.5493460655324
h4861,BE,scr3,electricity,dem,10.4007395081554
h4862,BE,scr3,electricity,dem,10.303368606516
h4863,BE,scr3,electricity,dem,10.2358153278275
h4864,BE,scr3,electricity,dem,10.2831616393029
h4865,BE,scr3,electricity,dem,10.2231944261881
h4866,BE,scr3,electricity,dem,9.97588090159798
h4867,BE,scr3,electricity,dem,9.69555508192585
h4868,BE,scr3,electricity,dem,9.46524770487667
h4869,BE,scr3,electricity,dem,9.67433377045044
h4870,BE,scr3,electricity,dem,9.35886245897503
h4871,BE,scr3,electricity,dem,8.78371696717175
h4872,BE,scr3,electricity,dem,8.42837475405699
h4873,BE,scr3,electricity,dem,8.16489141073453
h4874,BE,scr3,electricity,dem,8.06358608286568
h4875,BE,scr3,electricity,dem,8.07508813204601
h4876,BE,scr3,electricity,dem,8.18842624680011
h4877,BE,scr3,electricity,dem,8.66958198450502
h4878,BE,scr3,electricity,dem,9.410594279587
h4879,BE,scr3,electricity,dem,9.99457583696404
h4880,BE,scr3,electricity,dem,10.3788934599149
