timestep_4,region_1,scenario_1,technology_1,parameter,value
h4393,AT,scr7,solar,avaConv,0.0
h4394,AT,scr7,solar,avaConv,0.0
h4395,AT,scr7,solar,avaConv,-5.68751530200473e-7
h4396,AT,scr7,solar,avaConv,0.0140349686201852
h4397,AT,scr7,solar,avaConv,0.0970944042020933
h4398,AT,scr7,solar,avaConv,0.236449567766507
h4399,AT,scr7,solar,avaConv,0.397642841413333
h4400,AT,scr7,solar,avaConv,0.560428293284331
h4401,AT,scr7,solar,avaConv,0.684754650400658
h4402,AT,scr7,solar,avaConv,0.759218518596585
h4403,AT,scr7,solar,avaConv,0.751483067628405
h4404,AT,scr7,solar,avaConv,0.697323902686028
h4405,AT,scr7,solar,avaConv,0.577960905852857
h4406,AT,scr7,solar,avaConv,0.448261925445892
h4407,AT,scr7,solar,avaConv,0.362343916703489
h4408,AT,scr7,solar,avaConv,0.262912909488968
h4409,AT,scr7,solar,avaConv,0.152742825315091
h4410,AT,scr7,solar,avaConv,0.0647783107948416
h4411,AT,scr7,solar,avaConv,0.01023307443738
h4412,AT,scr7,solar,avaConv,-3.53125454034595e-7
h4413,AT,scr7,solar,avaConv,0.0
h4414,AT,scr7,solar,avaConv,0.0
h4415,AT,scr7,solar,avaConv,0.0
h4416,AT,scr7,solar,avaConv,0.0
h4417,AT,scr7,solar,avaConv,0.0
h4418,AT,scr7,solar,avaConv,0.0
h4419,AT,scr7,solar,avaConv,-3.13875447904994e-7
h4420,AT,scr7,solar,avaConv,0.00795900609492205
h4421,AT,scr7,solar,avaConv,0.0562295291172937
h4422,AT,scr7,solar,avaConv,0.132945000504686
h4423,AT,scr7,solar,avaConv,0.240029761919857
h4424,AT,scr7,solar,avaConv,0.400066549925456
h4425,AT,scr7,solar,avaConv,0.552738476435935
h4426,AT,scr7,solar,avaConv,0.633471329358847
h4427,AT,scr7,solar,avaConv,0.642686417980347
h4428,AT,scr7,solar,avaConv,0.648066286242442
h4429,AT,scr7,solar,avaConv,0.648879843102919
h4430,AT,scr7,solar,avaConv,0.614389417476608
h4431,AT,scr7,solar,avaConv,0.511160359386432
h4432,AT,scr7,solar,avaConv,0.372434608895903
h4433,AT,scr7,solar,avaConv,0.227232578220875
h4434,AT,scr7,solar,avaConv,0.09984766966302
h4435,AT,scr7,solar,avaConv,0.0163414421696292
h4436,AT,scr7,solar,avaConv,3.51572087151655e-8
h4437,AT,scr7,solar,avaConv,0.0
h4438,AT,scr7,solar,avaConv,0.0
h4439,AT,scr7,solar,avaConv,0.0
