timestep_4,region_1,scenario_1,technology_1,parameter,value
h4393,CH,scr3,solar,avaConv,0.0
h4394,CH,scr3,solar,avaConv,0.0
h4395,CH,scr3,solar,avaConv,0.0
h4396,CH,scr3,solar,avaConv,0.00083629455406334
h4397,CH,scr3,solar,avaConv,0.0461228701879468
h4398,CH,scr3,solar,avaConv,0.155732357228009
h4399,CH,scr3,solar,avaConv,0.250509357777738
h4400,CH,scr3,solar,avaConv,0.292491886419933
h4401,CH,scr3,solar,avaConv,0.286823048096718
h4402,CH,scr3,solar,avaConv,0.300993909525697
h4403,CH,scr3,solar,avaConv,0.354806665929955
h4404,CH,scr3,solar,avaConv,0.369785895423193
h4405,CH,scr3,solar,avaConv,0.34716561489826
h4406,CH,scr3,solar,avaConv,0.285265696916746
h4407,CH,scr3,solar,avaConv,0.216068547099299
h4408,CH,scr3,solar,avaConv,0.152905381128839
h4409,CH,scr3,solar,avaConv,0.0967849207007818
h4410,CH,scr3,solar,avaConv,0.0575214124800757
h4411,CH,scr3,solar,avaConv,0.0195267733958568
h4412,CH,scr3,solar,avaConv,0.000317460060986774
h4413,CH,scr3,solar,avaConv,0.0
h4414,CH,scr3,solar,avaConv,0.0
h4415,CH,scr3,solar,avaConv,0.0
h4416,CH,scr3,solar,avaConv,0.0
h4417,CH,scr3,solar,avaConv,0.0
h4418,CH,scr3,solar,avaConv,0.0
h4419,CH,scr3,solar,avaConv,0.0
h4420,CH,scr3,solar,avaConv,0.00146494441537588
h4421,CH,scr3,solar,avaConv,0.0529848928553488
h4422,CH,scr3,solar,avaConv,0.163718651259003
h4423,CH,scr3,solar,avaConv,0.319327137627523
h4424,CH,scr3,solar,avaConv,0.441245415741476
h4425,CH,scr3,solar,avaConv,0.608010842610577
h4426,CH,scr3,solar,avaConv,0.763484253992489
h4427,CH,scr3,solar,avaConv,0.855687055753383
h4428,CH,scr3,solar,avaConv,0.898075864975267
h4429,CH,scr3,solar,avaConv,0.878426612763183
h4430,CH,scr3,solar,avaConv,0.812178176467528
h4431,CH,scr3,solar,avaConv,0.707237222320926
h4432,CH,scr3,solar,avaConv,0.559276613295657
h4433,CH,scr3,solar,avaConv,0.367586441116942
h4434,CH,scr3,solar,avaConv,0.183381680647138
h4435,CH,scr3,solar,avaConv,0.0503955315755646
h4436,CH,scr3,solar,avaConv,0.000802719336291051
h4437,CH,scr3,solar,avaConv,0.0
h4438,CH,scr3,solar,avaConv,0.0
h4439,CH,scr3,solar,avaConv,0.0
h4440,CH,scr3,solar,avaConv,0.0
h4441,CH,scr3,solar,avaConv,0.0
h4442,CH,scr3,solar,avaConv,0.0
h4443,CH,scr3,solar,avaConv,0.0
h4444,CH,scr3,solar,avaConv,0.00190228805522376
h4445,CH,scr3,solar,avaConv,0.0729611069571981
h4446,CH,scr3,solar,avaConv,0.221039028659155
h4447,CH,scr3,solar,avaConv,0.390085653181262
h4448,CH,scr3,solar,avaConv,0.567330464973212
h4449,CH,scr3,solar,avaConv,0.721255943249964
h4450,CH,scr3,solar,avaConv,0.834054880966818
h4451,CH,scr3,solar,avaConv,0.898017728941964
h4452,CH,scr3,solar,avaConv,0.910451460132004
h4453,CH,scr3,solar,avaConv,0.870606377501486
h4454,CH,scr3,solar,avaConv,0.795248591702545
h4455,CH,scr3,solar,avaConv,0.687744451456158
h4456,CH,scr3,solar,avaConv,0.535501866567462
h4457,CH,scr3,solar,avaConv,0.355633980434543
h4458,CH,scr3,solar,avaConv,0.186416816986364
h4459,CH,scr3,solar,avaConv,0.0544528487415328
h4460,CH,scr3,solar,avaConv,0.000679635559908375
h4461,CH,scr3,solar,avaConv,0.0
h4462,CH,scr3,solar,avaConv,0.0
h4463,CH,scr3,solar,avaConv,0.0
h4464,CH,scr3,solar,avaConv,0.0
h4465,CH,scr3,solar,avaConv,0.0
h4466,CH,scr3,solar,avaConv,0.0
h4467,CH,scr3,solar,avaConv,0.0
h4468,CH,scr3,solar,avaConv,0.00132439239833356
h4469,CH,scr3,solar,avaConv,0.0540805444127165
h4470,CH,scr3,solar,avaConv,0.187382271535128
h4471,CH,scr3,solar,avaConv,0.344879389373446
h4472,CH,scr3,solar,avaConv,0.468180212160152
h4473,CH,scr3,solar,avaConv,0.499158622754571
h4474,CH,scr3,solar,avaConv,0.472395692011855
h4475,CH,scr3,solar,avaConv,0.523779961617382
h4476,CH,scr3,solar,avaConv,0.510609558347226
h4477,CH,scr3,solar,avaConv,0.465967322557522
h4478,CH,scr3,solar,avaConv,0.375063578567528
h4479,CH,scr3,solar,avaConv,0.23949032055461
h4480,CH,scr3,solar,avaConv,0.149016190476011
h4481,CH,scr3,solar,avaConv,0.122718408857412
h4482,CH,scr3,solar,avaConv,0.0693907478629748
h4483,CH,scr3,solar,avaConv,0.020973019313357
h4484,CH,scr3,solar,avaConv,0.000150945104004232
h4485,CH,scr3,solar,avaConv,0.0
h4486,CH,scr3,solar,avaConv,0.0
h4487,CH,scr3,solar,avaConv,0.0
h4488,CH,scr3,solar,avaConv,0.0
h4489,CH,scr3,solar,avaConv,0.0
h4490,CH,scr3,solar,avaConv,0.0
h4491,CH,scr3,solar,avaConv,0.0
h4492,CH,scr3,solar,avaConv,0.000410605493799447
h4493,CH,scr3,solar,avaConv,0.0231742211198635
h4494,CH,scr3,solar,avaConv,0.09355558474698
h4495,CH,scr3,solar,avaConv,0.206458324663414
h4496,CH,scr3,solar,avaConv,0.346978315175291
h4497,CH,scr3,solar,avaConv,0.498249850890134
h4498,CH,scr3,solar,avaConv,0.64449179517054
h4499,CH,scr3,solar,avaConv,0.741301372875779
h4500,CH,scr3,solar,avaConv,0.735076034216028
h4501,CH,scr3,solar,avaConv,0.687091333714507
h4502,CH,scr3,solar,avaConv,0.63805917866572
h4503,CH,scr3,solar,avaConv,0.590930210591459
h4504,CH,scr3,solar,avaConv,0.492923774741613
h4505,CH,scr3,solar,avaConv,0.352417427999793
h4506,CH,scr3,solar,avaConv,0.19577724349413
h4507,CH,scr3,solar,avaConv,0.060256692590059
h4508,CH,scr3,solar,avaConv,0.000652712912707265
h4509,CH,scr3,solar,avaConv,0.0
